csv_row_number,reaction_key,physical_dataset_id,source_row_index,label_decision_id,campaign_id
23,ord_dataset-7d8f5fd922d4497d91cb81489b052746:ord-03d46e1c67cf478096f99f8e6e274c71,ord_dataset-7d8f5fd922d4497d91cb81489b052746,1362,cfb612c2c1e06bd2b56db3d890006c132f3c28c5c5237762dab2d262e6901548,science_hte_campaign_4dcfd4b46ebc
24,ord_dataset-7d8f5fd922d4497d91cb81489b052746:ord-0410de1487d64363bcb974d0e713cd4c,ord_dataset-7d8f5fd922d4497d91cb81489b052746,1479,1850e3f6db13db81f262dff6fcba1a318dffe6de8b08b78b05602e718b5e42ba,science_hte_campaign_ca267bf88824
25,ord_dataset-7d8f5fd922d4497d91cb81489b052746:ord-042798ddf4ee4a9b82990fc392eae587,ord_dataset-7d8f5fd922d4497d91cb81489b052746,666,e7389518eeda3108e01600ddbd8b1a4014c34701dde95f1b652d64299e81f918,science_hte_campaign_3f02a74dbb14
26,ord_dataset-7d8f5fd922d4497d91cb81489b052746:ord-0436eb57b11940978f8750fb380f3071,ord_dataset-7d8f5fd922d4497d91cb81489b052746,868,66d2dfd6ad0b5c95de92a7564f579d0320db8ad96958c575501884dfe903ed16,science_hte_campaign_d8d10c924377
27,ord_dataset-7d8f5fd922d4497d91cb81489b052746:ord-045010f31269428f944e9f0b14c938a2,ord_dataset-7d8f5fd922d4497d91cb81489b052746,579,b2484073dc156ff42453f34cc65554377efc073aa095745e5404a5a3d2011ab2,science_hte_campaign_3f02a74dbb14
28,ord_dataset-7d8f5fd922d4497d91cb81489b052746:ord-0478771f9e384d7bb0b8930a7031efb4,ord_dataset-7d8f5fd922d4497d91cb81489b052746,1156,5f0ce4135f97620a9bd390634214d0a7d86ef7d32800ca57c2a6fbc5f0572973,science_hte_campaign_6bf2df144d3d
29,ord_dataset-7d8f5fd922d4497d91cb81489b052746:ord-04c1735f80f3408da7b4ca90c9bdefd0,ord_dataset-7d8f5fd922d4497d91cb81489b052746,419,429d76c6e38ea3c7c35a1b79bb10190384ac813bff721cb9c21851fbdd1894c0,science_hte_campaign_aeefa100ca4f
30,ord_dataset-7d8f5fd922d4497d91cb81489b052746:ord-04c26c2399da4fc692cf08492ac11fbd,ord_dataset-7d8f5fd922d4497d91cb81489b052746,521,39ed5dd976a8fdbb314f107badab483b7568095bc65905abc91140360becef91,science_hte_campaign_283f403f90e1
31,ord_dataset-7d8f5fd922d4497d91cb81489b052746:ord-04e7df0d02ea43f5bb93918e9f7c1d92,ord_dataset-7d8f5fd922d4497d91cb81489b052746,918,f1214517829c2347d3d883041aa762c6c56ed6df5ffafb697e36c2c07403629e,science_hte_campaign_d8d10c924377
32,ord_dataset-7d8f5fd922d4497d91cb81489b052746:ord-058143d300b54fe6bc19967e767e0f39,ord_dataset-7d8f5fd922d4497d91cb81489b052746,829,abc3b0475b52dbec28d5c4d60bd140ad5a95526119e39fdd0a09ef951d976a0d,science_hte_campaign_97b28884900c
