reactant-1,reactant-2,reactant-3,catalyst-1,catalyst-2,solvent-1,solvent-2,solvent-3,solvent-4,solvent-5,ee_s_minus_r_percent
C#CCCCCC=O,COc1ccc(C(=O)CBr)cc1,Cc1cccc(C)n1,C[C@@H]1[NH2+][C@@H](C(C)(C)C)N(C)C1=O.O=S(=O)([O-])C(F)(F)F,Cc1cc(C)c(-c2c3ccccc3[n+](C)c3ccccc23)c(C)c1.[O-][Cl+3]([O-])([O-])[O-],CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,-42.650001525878906
C#CCCCCC=O,O=C(CBr)c1ccccc1,Cc1cccc(C)n1,C[Si](C)(C)OC(c1ccccc1)(c1ccccc1)[C@@H]1CCCN1,[Ir+3].[c-]1ccccc1-c1ccccn1.[c-]1ccccc1-c1ccccn1.[c-]1ccccc1-c1ccccn1,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,-48.060001373291016
C#CCCCCC=O,O=C(CBr)c1ccc(F)cc1,Cc1cccc(C)n1,C[Si](C)(C)OC(c1ccccc1)(c1ccccc1)[C@@H]1CCCN1,[Ir+3].[c-]1ccccc1-c1ccccn1.[c-]1ccccc1-c1ccccn1.[c-]1ccccc1-c1ccccn1,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,-53.09000015258789
C#CCCCCC=O,Cc1ccc(C(=O)CBr)cc1,Cc1cccc(C)n1,C[Si](C)(C)OC(c1ccccc1)(c1ccccc1)[C@@H]1CCCN1,O.O.O.O.O.O.[Cl][Ru][Cl].c1ccc(-c2ccccn2)nc1.c1ccc(-c2ccccn2)nc1.c1ccc(-c2ccccn2)nc1,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,-41.72999954223633
C#CCCCCC=O,O=C(CBr)c1ccc(Br)cc1,Cc1cccc(C)n1,C[Si](C)(C)OC(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)[C@H]1CCCN1,F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F.[Ru+2].c1ccc(-c2ccccn2)nc1.c1ccc(-c2ccccn2)nc1.c1ccc(-c2ccccn2)nc1,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,45.040000915527344
C#CCCCCC=O,Cc1ccc(C(=O)CBr)cc1,Cc1cccc(C)n1,O=C(O)[C@H]1CCCCN1,F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F.[Ru+2].c1ccc(-c2ccccn2)nc1.c1ccc(-c2ccccn2)nc1.c1ccc(-c2ccccn2)nc1,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,8.300000190734863
C#CCCCCC=O,O=C(CBr)c1ccc(OC(F)(F)F)cc1,Cc1cccc(C)n1,O=C(O)C1CSCN1,O=C(O)c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c(O)c(Br)cc12.[Na].[Na],CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,14.09000015258789
C#CCCCCC=O,O=C(CBr)c1ccc(-c2ccccc2)cc1,Cc1cccc(C)n1,C[Si](C)(C)OC(c1ccccc1)(c1ccccc1)[C@@H]1CCCN1,COc1ccc(-c2cc(-c3ccc(OC)cc3)[o+]c(-c3ccc(OC)cc3)c2)cc1.F[B-](F)(F)F,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,-46.849998474121094
C#CCCCCC=O,O=C(CBr)c1ccc(OC(F)(F)F)cc1,Cc1cccc(C)n1,O=C(O)[C@H]1CCCN1,Fc1cc(F)c(-c2ccccn2)[c]([Ir][c]2cc(F)cc(F)c2-c2ccccn2)c1.Fc1ccc(-c2ccccn2)c(F)c1,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,16.84000015258789
C#CCCCCC=O,O=C(CBr)c1ccc(F)cc1,Cc1cccc(C)n1,C1COCCN1,,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,-0.9100000262260437
C#CCCCCC=O,O=C(CBr)c1ccc(C(F)(F)F)cc1,Cc1cccc(C)n1,C1COCCN1,CCCC(=O)OCC(OC(=O)CCC)C(OC(=O)CCC)C(Cn1c2nc(=O)[nH]c(=O)c-2nc2cc(C)c(C)cc21)OC(=O)CCC,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,1.5399999618530273
C#CCCCCC=O,O=C(CBr)c1ccc(Br)cc1,Cc1cccc(C)n1,O=C(O)[C@@H]1C[C@@H]2CCCC[C@@H]2N1,,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,15.960000038146973
C#CCCCCC=O,O=C(CBr)c1ccc(F)cc1,Cc1cccc(C)n1,O=C(O)[C@@H]1Cc2ccccc2N1,F[P-](F)(F)(F)(F)F.[Ir+3].[c-]1ccccc1-c1ccccn1.[c-]1ccccc1-c1ccccn1.c1ccc(-c2ccccn2)nc1,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,42.15999984741211
C#CCCCCC=O,O=C(CBr)c1ccccc1,Cc1cccc(C)n1,C[Si](C)(C)OC(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)[C@H]1CCCN1,Cc1ccc(-c2cc(-c3ccc(C)cc3)[o+]c(-c3ccc(C)cc3)c2)cc1.F[B-](F)(F)F,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,64.27999877929688
C#CCCCCC=O,O=C(CBr)c1ccc(Cl)cc1,Cc1cccc(C)n1,C[Si](C)(C)OC(c1ccccc1)(c1ccccc1)[C@@H]1CCCN1,[Ir+3].[c-]1ccccc1-c1ccccn1.[c-]1ccccc1-c1ccccn1.[c-]1ccccc1-c1ccccn1,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,-45.25
