reactant-1,reactant-2,reagent-1,catalyst-1,catalyst-2,catalyst-3,solvent-1,solvent-2,reaction_time_s,illumination_wavelength_nm,conversion_percent
CCN(CC)c1ccc2oc(=O)c(-c3nc4ccccc4s3)cc2c1,CC(=O)c1ccc(F)cc1Br,CCN(C(C)C)C(C)C,Fc1ccc(-c2cc(-c3ccccc3)ccn2)cc1,CC1(C)C(=O)C(C)(C)c2c1c1cccnc1c1ncccc21,O.[Cl][Ir]([Cl])[Cl],CS(C)=O,CN(C)C=O,18000.0,445.0,99.87538146972656
CCN(CC)c1ccc2oc(=O)c(-c3nc4ccccc4s3)cc2c1,CC(=O)c1ccc(F)cc1Br,CCN(C(C)C)C(C)C,c1ccc(-n2cccn2)cc1,FC(F)(F)c1ccc(-c2ccc(C(F)(F)F)cn2)nc1,O.[Cl][Ir]([Cl])[Cl],CS(C)=O,CN(C)C=O,18000.0,445.0,0.005350000225007534
CCN(CC)c1ccc2oc(=O)c(-c3nc4ccccc4s3)cc2c1,CC(=O)c1ccc(F)cc1Br,CCN(C(C)C)C(C)C,CCc1ccc(-c2cccc(OC)c2)nc1,c1cnc2c(c1)ccc1cccnc12,O.[Cl][Ir]([Cl])[Cl],CS(C)=O,CN(C)C=O,18000.0,445.0,0.005350000225007534
CCN(CC)c1ccc2oc(=O)c(-c3nc4ccccc4s3)cc2c1,CC(=O)c1ccc(F)cc1Br,CCN(C(C)C)C(C)C,Fc1ccc(-c2nc3ccccc3o2)cc1,Cc1ccc(-c2ccc(C)cn2)nc1,O.[Cl][Ir]([Cl])[Cl],CS(C)=O,CN(C)C=O,18000.0,445.0,49.63699722290039
CCN(CC)c1ccc2oc(=O)c(-c3nc4ccccc4s3)cc2c1,CC(=O)c1ccc(F)cc1Br,CCN(C(C)C)C(C)C,Fc1ccc(-c2cc(-c3ccccc3)ccn2)cc1,Cc1cc(-c2ccccc2)c2ccc3c(-c4ccccc4)cc(C)nc3c2n1,O.[Cl][Ir]([Cl])[Cl],CS(C)=O,CN(C)C=O,18000.0,445.0,99.98658752441406
CCN(CC)c1ccc2oc(=O)c(-c3nc4ccccc4s3)cc2c1,CC(=O)c1ccc(F)cc1Br,CCN(C(C)C)C(C)C,CCc1ccc(-c2ccccc2)nc1,Cc1ccnc(-c2cc(C)ccn2)c1,O.[Cl][Ir]([Cl])[Cl],CS(C)=O,CN(C)C=O,18000.0,445.0,99.87538146972656
CCN(CC)c1ccc2oc(=O)c(-c3nc4ccccc4s3)cc2c1,CC(=O)c1ccc(F)cc1Br,CCN(C(C)C)C(C)C,c1ccc2cc(-c3nc4ccccc4o3)ccc2c1,CCCCCCCCCc1ccnc(-c2cc(CCCCCCCCC)ccn2)c1,O.[Cl][Ir]([Cl])[Cl],CS(C)=O,CN(C)C=O,18000.0,445.0,97.810546875
CCN(CC)c1ccc2oc(=O)c(-c3nc4ccccc4s3)cc2c1,CC(=O)c1ccc(F)cc1Br,CCN(C(C)C)C(C)C,Cc1ccc(-c2cccc(F)c2)nc1,c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1,O.[Cl][Ir]([Cl])[Cl],CS(C)=O,CN(C)C=O,18000.0,445.0,99.98658752441406
CCN(CC)c1ccc2oc(=O)c(-c3nc4ccccc4s3)cc2c1,CC(=O)c1ccc(F)cc1Br,CCN(C(C)C)C(C)C,CCc1ccc(-c2cccc(OC)c2)nc1,CC(C)(O)Cc1ccc(-c2ccc(CC(C)(C)O)cn2)nc1,O.[Cl][Ir]([Cl])[Cl],CS(C)=O,CN(C)C=O,18000.0,445.0,0.005350000225007534
CCN(CC)c1ccc2oc(=O)c(-c3nc4ccccc4s3)cc2c1,CC(=O)c1ccc(F)cc1Br,CCN(C(C)C)C(C)C,COc1ccc(-c2cc(-c3ccccc3)c(C)cn2)cc1,CCCCCCCCCc1ccnc(-c2cc(CCCCCCCCC)ccn2)c1,O.[Cl][Ir]([Cl])[Cl],CS(C)=O,CN(C)C=O,18000.0,445.0,99.87538146972656
CCN(CC)c1ccc2oc(=O)c(-c3nc4ccccc4s3)cc2c1,CC(=O)c1ccc(F)cc1Br,CCN(C(C)C)C(C)C,c1ccc(-c2nc3ccccc3o2)cc1,O=C(O)c1ccnc(-c2cc(C(=O)O)ccn2)c1,O.[Cl][Ir]([Cl])[Cl],CS(C)=O,CN(C)C=O,18000.0,445.0,99.73799896240234
CCN(CC)c1ccc2oc(=O)c(-c3nc4ccccc4s3)cc2c1,CC(=O)c1ccc(F)cc1Br,CCN(C(C)C)C(C)C,Cc1ccc(-c2ccc(Cl)cc2)nc1,Cc1ccc(-c2ccc(C)cn2)nc1,O.[Cl][Ir]([Cl])[Cl],CS(C)=O,CN(C)C=O,18000.0,445.0,94.88140869140625
CCN(CC)c1ccc2oc(=O)c(-c3nc4ccccc4s3)cc2c1,CC(=O)c1ccc(F)cc1Br,CCN(C(C)C)C(C)C,Cc1ccc(-c2ccc(F)cc2F)nc1,CS(C)=O,O.[Cl][Ir]([Cl])[Cl],CS(C)=O,CN(C)C=O,18000.0,445.0,0.005350000225007534
CCN(CC)c1ccc2oc(=O)c(-c3nc4ccccc4s3)cc2c1,CC(=O)c1ccc(F)cc1Br,CCN(C(C)C)C(C)C,Clc1ccc(-c2nc3ccccc3s2)cc1,FC(F)(F)c1ccc(-c2ccc(C(F)(F)F)cn2)nc1,O.[Cl][Ir]([Cl])[Cl],CS(C)=O,CN(C)C=O,18000.0,445.0,62.870697021484375
CCN(CC)c1ccc2oc(=O)c(-c3nc4ccccc4s3)cc2c1,CC(=O)c1ccc(F)cc1Br,CCN(C(C)C)C(C)C,c1ccc(-c2ccnc(-c3ccc4ccccc4c3)c2)cc1,c1cnc2c(c1)ccc1cccnc12,O.[Cl][Ir]([Cl])[Cl],CS(C)=O,CN(C)C=O,18000.0,445.0,56.654048919677734
