archive_stage,artifact_id,old_path,archive_path,object_type,size_bytes,sha256,disposition,license_id,redistribution_status,canonical_artifact_id,payload_retention,replacement_relation,reason
02-source-evidence,dataset-artifact-a8887a04479f05644dc318e4,processing/derived/csv/manifests/export_partitions.csv,intermediate/02-source-evidence/payload/derived/csv/manifests/export_partitions.csv,file,12250,af426c0afc34a81b540194c318c0327d4d456258753e148879ac8fb59dde9261,intermediate,CC-BY-SA-4.0,pending_step_06_license_audit,dataset-artifact-a8887a04479f05644dc318e4,external-read-only-reference,indexed_without_copy_pending_release_backend_and_content_gate,Payload is retained only by content hash and source-relative location; this avoids duplicate bytes and prevents unreviewed legacy content entering regular Git.
02-source-evidence,dataset-artifact-a70c3764e7566c76d372b5b0,processing/derived/csv/manifests/source_evidence.csv,intermediate/02-source-evidence/payload/derived/csv/manifests/source_evidence.csv,file,1425933595,c659cbab662fe972208f6d988831fd8e6c81b200e7f4e2aaf14d9bd122099656,intermediate,CC-BY-SA-4.0,pending_step_06_license_audit,dataset-artifact-a70c3764e7566c76d372b5b0,external-read-only-reference,indexed_without_copy_pending_release_backend_and_content_gate,Payload is retained only by content hash and source-relative location; this avoids duplicate bytes and prevents unreviewed legacy content entering regular Git.
