reaction_key,physical_dataset_id,source_row_index,label_decision_id,exclusion_reason
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-4592f61a674f4f3d912f589b6e2b8503,ord_dataset-3b8a2ef300e145468579027f206a3ac8,211,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-4a2f6eb5dee6423080c0a1750b11fa74,ord_dataset-3b8a2ef300e145468579027f206a3ac8,132,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-4dc5f3db589043149e707d4397cc5887,ord_dataset-3b8a2ef300e145468579027f206a3ac8,35,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-522fa89b3e2a47918e440734dd63bf94,ord_dataset-3b8a2ef300e145468579027f206a3ac8,139,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-5276db832535423ba2416b88fe246b5f,ord_dataset-3b8a2ef300e145468579027f206a3ac8,1242,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-55c8972a91d24a799a75b09844c6eee5,ord_dataset-3b8a2ef300e145468579027f206a3ac8,48,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-5b4eef21c66b40ea8129d87860b3622f,ord_dataset-3b8a2ef300e145468579027f206a3ac8,122,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-5bc43815f9a94cf988183b10ec7234fc,ord_dataset-3b8a2ef300e145468579027f206a3ac8,210,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-5c6c97af729b4946ab898ba7f8fd827a,ord_dataset-3b8a2ef300e145468579027f206a3ac8,110,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-5d06997b425243acb803d8e17e638fd2,ord_dataset-3b8a2ef300e145468579027f206a3ac8,1237,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-683d944818c441b49cc3a8ecfaa71ca6,ord_dataset-3b8a2ef300e145468579027f206a3ac8,152,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-686957ebb78a45068848c25c9a09c03c,ord_dataset-3b8a2ef300e145468579027f206a3ac8,56,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-6974b8b18d384ef6b9278ece4c3cb837,ord_dataset-3b8a2ef300e145468579027f206a3ac8,510,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-70e626a7f3ed48ca81d9e7b827138cb0,ord_dataset-3b8a2ef300e145468579027f206a3ac8,144,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-7201c17369354924a8f9676312d681b0,ord_dataset-3b8a2ef300e145468579027f206a3ac8,187,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-727b9875fa9641b79b2b1164c6950d06,ord_dataset-3b8a2ef300e145468579027f206a3ac8,131,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-741a66c821a64c9a8eb4bdf6ddbe57d1,ord_dataset-3b8a2ef300e145468579027f206a3ac8,189,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-749ac09a825f428dba39eef05dd0b3f5,ord_dataset-3b8a2ef300e145468579027f206a3ac8,936,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-76cc8bdcc12d42b1b0efec869ce2daa4,ord_dataset-3b8a2ef300e145468579027f206a3ac8,202,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-76e4a51e2d354f14affae62283a45ec7,ord_dataset-3b8a2ef300e145468579027f206a3ac8,141,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-7a74a2b897bb403aad5d6f2b2072917a,ord_dataset-3b8a2ef300e145468579027f206a3ac8,147,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-7ead4b5dc7a94524b4d87d2e8c104804,ord_dataset-3b8a2ef300e145468579027f206a3ac8,206,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-7fa010eb5a564cdb8c899fe9c770dd95,ord_dataset-3b8a2ef300e145468579027f206a3ac8,135,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-8023f6fdbd414b5ab37a52db172c50d9,ord_dataset-3b8a2ef300e145468579027f206a3ac8,138,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-80b50c7fb80542808fc978d547fedea6,ord_dataset-3b8a2ef300e145468579027f206a3ac8,1240,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-81bb891475dd4148a1b8c10124cfdd09,ord_dataset-3b8a2ef300e145468579027f206a3ac8,182,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-84900704c64f4051a736c593ed06a467,ord_dataset-3b8a2ef300e145468579027f206a3ac8,165,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-87f313cebf304185bda283cd3ebb0579,ord_dataset-3b8a2ef300e145468579027f206a3ac8,480,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-8806397b142d44e797198ed2b1e00768,ord_dataset-3b8a2ef300e145468579027f206a3ac8,169,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-8db3be06485e46259f1c300dea112bc7,ord_dataset-3b8a2ef300e145468579027f206a3ac8,492,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-8dbf9380cffd4771835d9211b8eebb79,ord_dataset-3b8a2ef300e145468579027f206a3ac8,53,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-903ac99ec07947e4a090eb40d54b30d3,ord_dataset-3b8a2ef300e145468579027f206a3ac8,113,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-925c4aeda58b4bbe958aa03a657f37d1,ord_dataset-3b8a2ef300e145468579027f206a3ac8,192,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-9589797c983641bd9a0aec846d70da20,ord_dataset-3b8a2ef300e145468579027f206a3ac8,158,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-96fc449a2e1e4e78adb21054086837cd,ord_dataset-3b8a2ef300e145468579027f206a3ac8,166,,non_finite_label
