reactant-1,reactant-2,reagent-1,reagent-2,reagent-3,catalyst-1,solvent-1,solvent-2,solvent-3,solvent-4,solvent-5,solvent-6,solvent-7,reaction_time_s,reflux_value,conditions_are_dynamic_value,conversion_percent
O=C(Nc1ccccc1N1CCNCC1)c1csc(Br)n1,CC1(C)OB(c2cnc(-n3cccn3)nc2)OC1(C)C,,,,CC(C)c1cc(C(C)C)c(-c2ccccc2[PH](C(C)(C)C)(C(C)(C)C)[Pd]2([O]S(C)(=O)=O)[NH]c3ccccc3-c3cccc[c]32)c(C(C)C)c1,CS(C)=O,O,CS(C)=O,CS(C)=O,CS(C)=O,,,79200.0,0.0,0.0,0.0
CCCc1nc2ccc(I)cc2c(=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(C)(C)C)cc1,CC1(C)OB(C2=CCCCC2)OC1(C)C,,,,CN(C)c1ccc([PH](C(C)(C)C)(C(C)(C)C)[Pd]2([O]S(C)(=O)=O)[NH]c3ccccc3-c3cccc[c]32)cc1,CS(C)=O,O,CS(C)=O,CS(C)=O,CCC(C)(C)O,,,79200.0,0.0,0.0,100.0
O=C1NCCc2[nH]c(-c3ccnc(Br)c3)cc21,CC1(C)OB(c2ccc(-c3cnccn3)cc2)OC1(C)C,,,,CC(C)c1cc(C(C)C)c(-c2ccccc2[PH](C(C)(C)C)(C(C)(C)C)[Pd]2([O]S(C)(=O)=O)[NH]c3ccccc3-c3cccc[c]32)c(C(C)C)c1,CS(C)=O,O,CS(C)=O,CS(C)=O,CS(C)=O,,,79200.0,0.0,0.0,0.0
O=C1NCCc2[nH]c(-c3ccnc(Br)c3)cc21,CC1(C)OB(c2cccc(C3(NC(=O)OCc4ccccc4)CC3)c2)OC1(C)C,,,,CN(C)c1ccc([PH](C(C)(C)C)(C(C)(C)C)[Pd]2([O]S(C)(=O)=O)[NH]c3ccccc3-c3cccc[c]32)cc1,CS(C)=O,O,CS(C)=O,CS(C)=O,CCC(C)(C)O,,,79200.0,0.0,0.0,27.76525115966797
O=C(Nc1ccccc1N1CCNCC1)c1csc(Br)n1,CC1(C)OB(c2cnc(-n3cccn3)nc2)OC1(C)C,,,,CN(C)c1ccc([PH](C(C)(C)C)(C(C)(C)C)[Pd]2([O]S(C)(=O)=O)[NH]c3ccccc3-c3cccc[c]32)cc1,CS(C)=O,O,CS(C)=O,CS(C)=O,CCC(C)(C)O,,,79200.0,0.0,0.0,7.162322998046875
CCCc1nc2ccc(I)cc2c(=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(C)(C)C)cc1,CC1(C)OB(c2cccc(C3(NC(=O)OCc4ccccc4)CC3)c2)OC1(C)C,,,,CC(C)Oc1cccc(OC(C)C)c1-c1ccccc1[PH](C1CCCCC1)(C1CCCCC1)[Pd]1([O]S(C)(=O)=O)[NH]c2ccccc2-c2cccc[c]21,CS(C)=O,O,CS(C)=O,CS(C)=O,O,,,79200.0,0.0,0.0,0.0
CCCc1nc2ccc(I)cc2c(=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(C)(C)C)cc1,CC1(C)OB(c2cnn(Cc3ccccc3)c2)OC1(C)C,,,,CC(C)Oc1cccc(OC(C)C)c1-c1ccccc1[PH](C1CCCCC1)(C1CCCCC1)[Pd]1([O]S(C)(=O)=O)[NH]c2ccccc2-c2cccc[c]21,CS(C)=O,O,CS(C)=O,CS(C)=O,O,,,79200.0,0.0,0.0,18.84434700012207
COC(=O)[C@@H]1C[C@@H](OC(=O)N2Cc3cccc(Br)c3C2)CN1C(=O)OCc1ccccc1,O=C(NC1CCCC1)c1ccc(B(O)O)cc1,,,,CC(C)c1cc(C(C)C)c(-c2ccccc2[PH](C2CCCCC2)(C2CCCCC2)[Pd]2([O]S(C)(=O)=O)[NH]c3ccccc3-c3cccc[c]32)c(C(C)C)c1,CS(C)=O,O,CS(C)=O,CS(C)=O,O,,,79200.0,0.0,0.0,100.0
O=C(NCc1ccc(F)cc1)c1nc(Br)c2cccnc2c1O,CC1(C)OB(c2cccc(C3(NC(=O)OCc4ccccc4)CC3)c2)OC1(C)C,,,,CC(C)c1cc(C(C)C)c(-c2ccccc2[PH](C(C)(C)C)(C(C)(C)C)[Pd]2([O]S(C)(=O)=O)[NH]c3ccccc3-c3cccc[c]32)c(C(C)C)c1,CS(C)=O,O,CS(C)=O,CS(C)=O,CS(C)=O,,,79200.0,0.0,0.0,0.0
CN1C(=O)C[C@@](C)(c2cc(Br)cs2)N/C1=N/C(=O)OC(C)(C)C,CC1(C)OB(c2cnn(Cc3ccccc3)c2)OC1(C)C,,,,CC(C)(C)[PH](C(C)(C)C)(C(C)(C)C)[Pd]1([Cl])[NH]c2ccccc2-c2cccc[c]21,CS(C)=O,O,CS(C)=O,CS(C)=O,CCC(C)(C)O,,,79200.0,0.0,0.0,100.0
CN1C(=O)C[C@@](C)(c2cc(Br)cs2)N/C1=N/C(=O)OC(C)(C)C,CC1(C)OB(c2ccc(-c3cnccn3)cc2)OC1(C)C,,,,CC(C)c1cc(C(C)C)c(-c2ccccc2[PH](C(C)(C)C)(C(C)(C)C)[Pd]2([O]S(C)(=O)=O)[NH]c3ccccc3-c3cccc[c]32)c(C(C)C)c1,CS(C)=O,O,CS(C)=O,CS(C)=O,CS(C)=O,,,79200.0,0.0,0.0,35.50634765625
COC(=O)[C@@H]1C[C@@H](OC(=O)N2Cc3cccc(Br)c3C2)CN1C(=O)OCc1ccccc1,CC1(C)OB(c2cnn(Cc3ccccc3)c2)OC1(C)C,,,,CC(C)Oc1cccc(OC(C)C)c1-c1ccccc1[PH](C1CCCCC1)(C1CCCCC1)[Pd]1([O]S(C)(=O)=O)[NH]c2ccccc2-c2cccc[c]21,CS(C)=O,O,CS(C)=O,CS(C)=O,O,,,79200.0,0.0,0.0,84.37435913085938
COC(=O)[C@@H]1C[C@@H](OC(=O)N2Cc3cccc(Br)c3C2)CN1C(=O)OCc1ccccc1,CC1(C)OB(c2cnc(-n3cccn3)nc2)OC1(C)C,,,,CC(C)(C)[PH](C(C)(C)C)(C(C)(C)C)[Pd]1([Cl])[NH]c2ccccc2-c2cccc[c]21,CS(C)=O,O,CS(C)=O,CS(C)=O,CCC(C)(C)O,,,79200.0,0.0,0.0,56.66905975341797
COC(=O)[C@@H]1C[C@@H](OC(=O)N2Cc3cccc(Br)c3C2)CN1C(=O)OCc1ccccc1,CC1(C)OB(c2cn(S(=O)(=O)c3ccccc3)c3ncccc23)OC1(C)C,,,,CN(C)c1ccc([PH](C(C)(C)C)(C(C)(C)C)[Pd]2([O]S(C)(=O)=O)[NH]c3ccccc3-c3cccc[c]32)cc1,CS(C)=O,O,CS(C)=O,CS(C)=O,CS(C)=O,,,79200.0,0.0,0.0,35.12107849121094
CN1C(=O)C[C@@](C)(c2cc(Br)cs2)N/C1=N/C(=O)OC(C)(C)C,CC1(C)OB(c2cnn(Cc3ccccc3)c2)OC1(C)C,,,,CC(C)Oc1cccc(OC(C)C)c1-c1ccccc1[PH](C1CCCCC1)(C1CCCCC1)[Pd]1([O]S(C)(=O)=O)[NH]c2ccccc2-c2cccc[c]21,CS(C)=O,O,CS(C)=O,CS(C)=O,O,,,79200.0,0.0,0.0,100.0
CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cc(Br)cnc32)CC1,CN(C)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1,,,,CN(C)c1ccc([PH](C(C)(C)C)(C(C)(C)C)[Pd]2([O]S(C)(=O)=O)[NH]c3ccccc3-c3cccc[c]32)cc1,CS(C)=O,O,CS(C)=O,CS(C)=O,CS(C)=O,,,79200.0,0.0,0.0,96.09371185302734
CCn1c(=O)c2c(nc(N[C@@H]3CCC[C@H]3O)n2Cc2ccc(OC)c(Br)c2)n(CCO)c1=O,CN(C)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1,,,,CC(C)(C)[PH](C(C)(C)C)(C(C)(C)C)[Pd]1([Cl])[NH]c2ccccc2-c2cccc[c]21,CS(C)=O,O,CS(C)=O,CS(C)=O,CCC(C)(C)O,,,79200.0,0.0,0.0,90.57905578613281
CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cc(Br)cnc32)CC1,CC1(C)OB(c2cccc(C3(NC(=O)OCc4ccccc4)CC3)c2)OC1(C)C,,,,CC(C)c1cc(C(C)C)c(-c2ccccc2[PH](C2CCCCC2)(C2CCCCC2)[Pd]2([O]S(C)(=O)=O)[NH]c3ccccc3-c3cccc[c]32)c(C(C)C)c1,CS(C)=O,O,CS(C)=O,CS(C)=O,O,,,79200.0,0.0,0.0,96.6722640991211
CN1C(=O)C[C@@](C)(c2sccc2Cl)N/C1=N/C(=O)OC(C)(C)C,O=C(NC1CCCC1)c1ccc(B(O)O)cc1,,,,CN(C)c1ccc([PH](C(C)(C)C)(C(C)(C)C)[Pd]2([O]S(C)(=O)=O)[NH]c3ccccc3-c3cccc[c]32)cc1,CS(C)=O,O,CS(C)=O,CS(C)=O,CS(C)=O,,,79200.0,0.0,0.0,0.0
Ic1c[nH]c2ncccc12,CC1(C)OB(c2cccc(C3(NC(=O)OCc4ccccc4)CC3)c2)OC1(C)C,,,,CC(C)Oc1cccc(OC(C)C)c1-c1ccccc1[PH](C1CCCCC1)(C1CCCCC1)[Pd]1([O]S(C)(=O)=O)[NH]c2ccccc2-c2cccc[c]21,CS(C)=O,O,CS(C)=O,CS(C)=O,O,,,79200.0,0.0,0.0,0.0
COC(=O)[C@@H]1C[C@@H](OC(=O)N2Cc3cccc(Br)c3C2)CN1C(=O)OCc1ccccc1,CN(C)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1,,,,CN(C)c1ccc([PH](C(C)(C)C)(C(C)(C)C)[Pd]2([O]S(C)(=O)=O)[NH]c3ccccc3-c3cccc[c]32)cc1,CS(C)=O,O,CS(C)=O,CS(C)=O,CS(C)=O,,,79200.0,0.0,0.0,0.0
CCCc1nc2ccc(I)cc2c(=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(C)(C)C)cc1,CN(C)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1,,,,CC(C)c1cc(C(C)C)c(-c2ccccc2[PH](C(C)(C)C)(C(C)(C)C)[Pd]2([O]S(C)(=O)=O)[NH]c3ccccc3-c3cccc[c]32)c(C(C)C)c1,CS(C)=O,O,CS(C)=O,CS(C)=O,CS(C)=O,,,79200.0,0.0,0.0,55.57299041748047
CC(=O)NC(C)(C)[C@@H]1CC2(CCN(C(=O)OC(C)(C)C)CC2)c2cc(Cl)c(C)cc21,CC1(C)OB(c2cn(S(=O)(=O)c3ccccc3)c3ncccc23)OC1(C)C,,,,CC(C)c1cc(C(C)C)c(-c2ccccc2[PH](C2CCCCC2)(C2CCCCC2)[Pd]2([O]S(C)(=O)=O)[NH]c3ccccc3-c3cccc[c]32)c(C(C)C)c1,CS(C)=O,O,CS(C)=O,CS(C)=O,O,,,79200.0,0.0,0.0,100.0
COC(=O)[C@@H]1C[C@@H](OC(=O)N2Cc3cccc(Br)c3C2)CN1C(=O)OCc1ccccc1,CC1(C)OB(c2cn(S(=O)(=O)c3ccccc3)c3ncccc23)OC1(C)C,,,,CN(C)c1ccc([PH](C(C)(C)C)(C(C)(C)C)[Pd]2([O]S(C)(=O)=O)[NH]c3ccccc3-c3cccc[c]32)cc1,CS(C)=O,O,CS(C)=O,CS(C)=O,CCC(C)(C)O,,,79200.0,0.0,0.0,80.62065887451172
O=C1NCCc2[nH]c(-c3ccnc(Br)c3)cc21,O=C(NC1CCCC1)c1ccc(B(O)O)cc1,,,,CC(C)Oc1cccc(OC(C)C)c1-c1ccccc1[PH](C1CCCCC1)(C1CCCCC1)[Pd]1([O]S(C)(=O)=O)[NH]c2ccccc2-c2cccc[c]21,CS(C)=O,O,CS(C)=O,CS(C)=O,O,,,79200.0,0.0,0.0,35.15696334838867
COC(=O)[C@@H]1C[C@@H](OC(=O)N2Cc3cccc(Br)c3C2)CN1C(=O)OCc1ccccc1,Cc1cc(O)ccc1B1OC(C)(C)C(C)(C)O1,,,,CN(C)c1ccc([PH](C(C)(C)C)(C(C)(C)C)[Pd]2([O]S(C)(=O)=O)[NH]c3ccccc3-c3cccc[c]32)cc1,CS(C)=O,O,CS(C)=O,CS(C)=O,CCC(C)(C)O,,,79200.0,0.0,0.0,92.67047119140625
CCCc1nc2ccc(I)cc2c(=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(C)(C)C)cc1,CC1(C)OB(c2ccc(-c3cnccn3)cc2)OC1(C)C,,,,CC(C)Oc1cccc(OC(C)C)c1-c1ccccc1[PH](C1CCCCC1)(C1CCCCC1)[Pd]1([O]S(C)(=O)=O)[NH]c2ccccc2-c2cccc[c]21,CS(C)=O,O,CS(C)=O,CS(C)=O,O,,,79200.0,0.0,0.0,12.66063117980957
O=C(Nc1ccccc1N1CCNCC1)c1csc(Br)n1,CC1(C)OB(c2ccc(-c3cnccn3)cc2)OC1(C)C,,,,CN(C)c1ccc([PH](C(C)(C)C)(C(C)(C)C)[Pd]2([O]S(C)(=O)=O)[NH]c3ccccc3-c3cccc[c]32)cc1,CS(C)=O,O,CS(C)=O,CS(C)=O,CCC(C)(C)O,,,79200.0,0.0,0.0,0.0
CN1C(=O)C[C@@](C)(c2cc(Br)cs2)N/C1=N/C(=O)OC(C)(C)C,CC1(C)OB(c2ccc(-c3cnccn3)cc2)OC1(C)C,,,,CN(C)c1ccc([PH](C(C)(C)C)(C(C)(C)C)[Pd]2([O]S(C)(=O)=O)[NH]c3ccccc3-c3cccc[c]32)cc1,CS(C)=O,O,CS(C)=O,CS(C)=O,CCC(C)(C)O,,,79200.0,0.0,0.0,100.0
CN1C(=O)C[C@@](C)(c2cc(Br)cs2)N/C1=N/C(=O)OC(C)(C)C,OB(O)c1cccnc1,,,,CN(C)c1ccc([PH](C(C)(C)C)(C(C)(C)C)[Pd]2([O]S(C)(=O)=O)[NH]c3ccccc3-c3cccc[c]32)cc1,CS(C)=O,O,CS(C)=O,CS(C)=O,CCC(C)(C)O,,,79200.0,0.0,0.0,47.605709075927734
CCn1c(=O)c2c(nc(N[C@@H]3CCC[C@H]3O)n2Cc2ccc(OC)c(Br)c2)n(CCO)c1=O,CN(C)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1,,,,CN(C)c1ccc([PH](C(C)(C)C)(C(C)(C)C)[Pd]2([O]S(C)(=O)=O)[NH]c3ccccc3-c3cccc[c]32)cc1,CS(C)=O,O,CS(C)=O,CS(C)=O,CCC(C)(C)O,,,79200.0,0.0,0.0,91.8013687133789
O=C1NCCc2[nH]c(-c3ccnc(Br)c3)cc21,CC1(C)OB(c2cn(S(=O)(=O)c3ccccc3)c3ncccc23)OC1(C)C,,,,CN(C)c1ccc([PH](C(C)(C)C)(C(C)(C)C)[Pd]2([O]S(C)(=O)=O)[NH]c3ccccc3-c3cccc[c]32)cc1,CS(C)=O,O,CS(C)=O,CS(C)=O,CS(C)=O,,,79200.0,0.0,0.0,100.0
Brc1ccc(-c2ccccc2)cn1,OB(O)c1cccnc1,,,,CN(C)c1ccc([PH](C(C)(C)C)(C(C)(C)C)[Pd]2([O]S(C)(=O)=O)[NH]c3ccccc3-c3cccc[c]32)cc1,CS(C)=O,O,CS(C)=O,CS(C)=O,CCC(C)(C)O,,,79200.0,0.0,0.0,16.609243392944336
COC(=O)[C@@H]1C[C@@H](OC(=O)N2Cc3cccc(Br)c3C2)CN1C(=O)OCc1ccccc1,CC1(C)OB(c2cnn(Cc3ccccc3)c2)OC1(C)C,,,,CC(C)c1cc(C(C)C)c(-c2ccccc2[PH](C2CCCCC2)(C2CCCCC2)[Pd]2([O]S(C)(=O)=O)[NH]c3ccccc3-c3cccc[c]32)c(C(C)C)c1,CS(C)=O,O,CS(C)=O,CS(C)=O,O,,,79200.0,0.0,0.0,49.690433502197266
Ic1c[nH]c2ncccc12,CC1(C)OB(C2=CCCCC2)OC1(C)C,,,,CC(C)(C)[PH](C(C)(C)C)(C(C)(C)C)[Pd]1([Cl])[NH]c2ccccc2-c2cccc[c]21,CS(C)=O,O,CS(C)=O,CS(C)=O,CCC(C)(C)O,,,79200.0,0.0,0.0,0.0
Brc1ccc(-c2ccccc2)cn1,O=C(NC1CCCC1)c1ccc(B(O)O)cc1,,,,CC(C)(C)[PH](C(C)(C)C)(C(C)(C)C)[Pd]1([Cl])[NH]c2ccccc2-c2cccc[c]21,CS(C)=O,O,CS(C)=O,CS(C)=O,CCC(C)(C)O,,,79200.0,0.0,0.0,19.10670280456543
Brc1ccc(-c2ccccc2)cn1,CC1(C)OB(c2cccc(C3(NC(=O)OCc4ccccc4)CC3)c2)OC1(C)C,,,,CC(C)(C)[PH](C(C)(C)C)(C(C)(C)C)[Pd]1([Cl])[NH]c2ccccc2-c2cccc[c]21,CS(C)=O,O,CS(C)=O,CS(C)=O,CCC(C)(C)O,,,79200.0,0.0,0.0,100.0
CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cc(Br)cnc32)CC1,CC1(C)OB(c2cn(S(=O)(=O)c3ccccc3)c3ncccc23)OC1(C)C,,,,CC(C)Oc1cccc(OC(C)C)c1-c1ccccc1[PH](C1CCCCC1)(C1CCCCC1)[Pd]1([O]S(C)(=O)=O)[NH]c2ccccc2-c2cccc[c]21,CS(C)=O,O,CS(C)=O,CS(C)=O,O,,,79200.0,0.0,0.0,28.586034774780273
COC(=O)[C@@H]1C[C@@H](OC(=O)N2Cc3cccc(Br)c3C2)CN1C(=O)OCc1ccccc1,CC1(C)OB(c2cccc(C3(NC(=O)OCc4ccccc4)CC3)c2)OC1(C)C,,,,CC(C)c1cc(C(C)C)c(-c2ccccc2[PH](C2CCCCC2)(C2CCCCC2)[Pd]2([O]S(C)(=O)=O)[NH]c3ccccc3-c3cccc[c]32)c(C(C)C)c1,CS(C)=O,O,CS(C)=O,CS(C)=O,O,,,79200.0,0.0,0.0,100.0
CCCc1nc2ccc(I)cc2c(=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(C)(C)C)cc1,CC1(C)OB(c2ccc(-c3cnccn3)cc2)OC1(C)C,,,,CN(C)c1ccc([PH](C(C)(C)C)(C(C)(C)C)[Pd]2([O]S(C)(=O)=O)[NH]c3ccccc3-c3cccc[c]32)cc1,CS(C)=O,O,CS(C)=O,CS(C)=O,CS(C)=O,,,79200.0,0.0,0.0,97.34373474121094
O=C(NCc1ccc(F)cc1)c1nc(Br)c2cccnc2c1O,CC1(C)OB(c2cnn(Cc3ccccc3)c2)OC1(C)C,,,,CN(C)c1ccc([PH](C(C)(C)C)(C(C)(C)C)[Pd]2([O]S(C)(=O)=O)[NH]c3ccccc3-c3cccc[c]32)cc1,CS(C)=O,O,CS(C)=O,CS(C)=O,CCC(C)(C)O,,,79200.0,0.0,0.0,0.0
CN1C(=O)C[C@@](C)(c2cc(Br)cs2)N/C1=N/C(=O)OC(C)(C)C,CC1(C)OB(c2ccc(-c3cnccn3)cc2)OC1(C)C,,,,CN(C)c1ccc([PH](C(C)(C)C)(C(C)(C)C)[Pd]2([O]S(C)(=O)=O)[NH]c3ccccc3-c3cccc[c]32)cc1,CS(C)=O,O,CS(C)=O,CS(C)=O,CCC(C)(C)O,,,79200.0,0.0,0.0,90.07772064208984
O=C(Nc1ccccc1N1CCNCC1)c1csc(Br)n1,O=C(NC1CCCC1)c1ccc(B(O)O)cc1,,,,CC(C)(C)[PH](C(C)(C)C)(C(C)(C)C)[Pd]1([Cl])[NH]c2ccccc2-c2cccc[c]21,CS(C)=O,O,CS(C)=O,CS(C)=O,CCC(C)(C)O,,,79200.0,0.0,0.0,0.0
Ic1c[nH]c2ncccc12,CC1(C)OB(c2ccc(-c3cnccn3)cc2)OC1(C)C,,,,CN(C)c1ccc([PH](C(C)(C)C)(C(C)(C)C)[Pd]2([O]S(C)(=O)=O)[NH]c3ccccc3-c3cccc[c]32)cc1,CS(C)=O,O,CS(C)=O,CS(C)=O,CS(C)=O,,,79200.0,0.0,0.0,0.0
CCCc1nc2ccc(I)cc2c(=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(C)(C)C)cc1,CC1(C)OB(c2cccc(C3(NC(=O)OCc4ccccc4)CC3)c2)OC1(C)C,,,,CC(C)c1cc(C(C)C)c(-c2ccccc2[PH](C(C)(C)C)(C(C)(C)C)[Pd]2([O]S(C)(=O)=O)[NH]c3ccccc3-c3cccc[c]32)c(C(C)C)c1,CS(C)=O,O,CS(C)=O,CS(C)=O,CS(C)=O,,,79200.0,0.0,0.0,0.0
CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cc(Br)cnc32)CC1,CC1(C)OB(c2ccc(-c3cnccn3)cc2)OC1(C)C,,,,CC(C)Oc1cccc(OC(C)C)c1-c1ccccc1[PH](C1CCCCC1)(C1CCCCC1)[Pd]1([O]S(C)(=O)=O)[NH]c2ccccc2-c2cccc[c]21,CS(C)=O,O,CS(C)=O,CS(C)=O,O,,,79200.0,0.0,0.0,100.0
COC(=O)[C@@H]1C[C@@H](OC(=O)N2Cc3cccc(Br)c3C2)CN1C(=O)OCc1ccccc1,CC1(C)OB(c2cnc(-n3cccn3)nc2)OC1(C)C,,,,CC(C)Oc1cccc(OC(C)C)c1-c1ccccc1[PH](C1CCCCC1)(C1CCCCC1)[Pd]1([O]S(C)(=O)=O)[NH]c2ccccc2-c2cccc[c]21,CS(C)=O,O,CS(C)=O,CS(C)=O,O,,,79200.0,0.0,0.0,20.47793197631836
