dataset_slug,logical_dataset_id,row_count,reaction_payload_sha256,source_links_path,row_locator,two_hop_source_manifest
hte-suzuki-coupling,physical_eeba974d3c284aed86d1c1d442260a1e,376,90724a104a5cfa3aead59bfc16c6a412e38284898c8966af52c1c53113758daa,datasets/corpus/hte-suzuki-coupling/source-links.json,"physical_dataset_id,source_file,reaction_id,row_index",provenance/source-files.csv
imidazopyridine-three-component-synthesis,physical_10b940e7982c4622b1e1ac879394aba6,384,09b41f96ca705d1b7f19169c8b3bcfd383e9b9109f7ad7974617077b61e01589,datasets/corpus/imidazopyridine-three-component-synthesis/source-links.json,"physical_dataset_id,source_file,reaction_id,row_index",provenance/source-files.csv
islatravir-biocatalytic-cascade,physical_6a0bfcdf53a64c07987822162ae591e2,3,30073366994acdc921b9d4d84c02ea17dd741e167e834e75162be3f4840027fe,datasets/corpus/islatravir-biocatalytic-cascade/source-links.json,"physical_dataset_id,source_file,reaction_id,row_index",provenance/source-files.csv
microwave-biginelli-condensation,physical_55de08a995554f558c25fc43eac62359,48,7d96aa6dc6f923652648458fddaa3cbb6277502948c0c316deffb2585e373f87,datasets/corpus/microwave-biginelli-condensation/source-links.json,"physical_dataset_id,source_file,reaction_id,row_index",provenance/source-files.csv
nano-c-n-photochemistry-informer,physical_ac78456835404910b3a4c840248b6ac9,1728,1aa201d80f3f50dc9f40c2d0c5445524d86a69f05f481116bf2f2876f51336fe,datasets/corpus/nano-c-n-photochemistry-informer/source-links.json,"physical_dataset_id,source_file,reaction_id,row_index",provenance/source-files.csv
newman-1-octene-mizoroki-heck,physical_1d3a1a6fb70d46c084602d0688967afc,96,383f2eb4a13165641c3a3c1510b0de4f94a527371f6539c7111f5b1b0cfbc42a,datasets/corpus/newman-1-octene-mizoroki-heck/source-links.json,"physical_dataset_id,source_file,reaction_id,row_index",provenance/source-files.csv
newman-n-vinyl-pyrrolidone-mizoroki-heck,physical_ce5045aceb214cfc8bfd0ef3031e2737,96,85aaf7e0e09a34e35fc29bb91214024d3a1dfd9990a39c09aecb402660a44fa2,datasets/corpus/newman-n-vinyl-pyrrolidone-mizoroki-heck/source-links.json,"physical_dataset_id,source_file,reaction_id,row_index",provenance/source-files.csv
newman-styrene-mizoroki-heck,physical_0316886541d9435489859c2ad7edc863,96,5cf6160fd51959331c10b51d9460b6c9af84ae423cee7d01021717cc286c5f7d,datasets/corpus/newman-styrene-mizoroki-heck/source-links.json,"physical_dataset_id,source_file,reaction_id,row_index",provenance/source-files.csv
newman-vinyl-ether-mizoroki-heck,physical_52bd3b0ec72c443aab113bcea09bf3f4,96,d53c59749bd46d17245fb48e6ba89b7b9470556eedd7456d3ba98ae395e30cf9,datasets/corpus/newman-vinyl-ether-mizoroki-heck/source-links.json,"physical_dataset_id,source_file,reaction_id,row_index",provenance/source-files.csv
nickel-suzuki-miyaura-cross-coupling,physical_3b5db90e337942ea886b8f5bc5e3aa72,450,2056bbc46e004d294e7bc9b9c317302a6df3b9e843f2b9718c77f3e2ead00b58,datasets/corpus/nickel-suzuki-miyaura-cross-coupling/source-links.json,"physical_dataset_id,source_file,reaction_id,row_index",provenance/source-files.csv
