artifact_id,old_path,size_bytes,sha256,review_disposition,canonical_artifact_id,canonical_old_path,dedup_relation,license_id,redistribution_status,release_inclusion,reason
dataset-artifact-50d891322506298208478848,processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=lit_10_1126_science_1259203/reactions.csv,17466453,ca185591fe871c14a04a19d5161053a228bbdf040fb601c32de83cdb214c8413,superseded,dataset-artifact-c4d7c2ecfe0cf12fef939c12,standardized/derived/csv/tables/logical_dataset_id=lit_10_1126_science_1259203/reactions.csv,byte_identical_to_non_review_canonical,NOASSERTION,blocked_pending_audit,excluded_duplicate,Legacy duplicate is excluded; the separately classified canonical object is referenced by SHA-256.
dataset-artifact-46716691b60372374e5ff3ff,processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=lit_10_26434_chemrxiv_15001213/reactions.csv,1121680,1f7ee26f0b2298e720ddcca93ed76d1dc74b2198eff20c326b44119f14631ee7,superseded,dataset-artifact-a7c35490989ac062ad2f91ec,standardized/derived/csv/tables/logical_dataset_id=lit_10_26434_chemrxiv_15001213/reactions.csv,byte_identical_to_non_review_canonical,NOASSERTION,blocked_pending_audit,excluded_duplicate,Legacy duplicate is excluded; the separately classified canonical object is referenced by SHA-256.
dataset-artifact-a3c64bede55f23a136b5a54b,processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=physical_00005539a1e04c809a9a78647bea649c/reactions.csv,2902696,ab44dc0195ff5af36efbd0b9b77e3b284ab79e8cb1b0a7773b571a9a184c7c53,superseded,dataset-artifact-ebaa7fd588f9492d82447906,standardized/derived/csv/tables/logical_dataset_id=physical_00005539a1e04c809a9a78647bea649c/reactions.csv,byte_identical_to_non_review_canonical,NOASSERTION,blocked_pending_audit,excluded_duplicate,Legacy duplicate is excluded; the separately classified canonical object is referenced by SHA-256.
dataset-artifact-4d762e4c500fd144c348cd31,processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=physical_0316886541d9435489859c2ad7edc863/reactions.csv,842569,648a43db848a8a69d11cb58c3ed3eb1508af525f27c558d3a54597545fa12ce1,superseded,dataset-artifact-e26e3ba6910d559f570731c9,standardized/derived/csv/tables/logical_dataset_id=physical_0316886541d9435489859c2ad7edc863/reactions.csv,byte_identical_to_non_review_canonical,NOASSERTION,blocked_pending_audit,excluded_duplicate,Legacy duplicate is excluded; the separately classified canonical object is referenced by SHA-256.
dataset-artifact-9c37ff120e239b874a266248,processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=physical_10b940e7982c4622b1e1ac879394aba6/reactions.csv,1365230,10ea96bf4cdf43ed16c1508b17b8fb0a530f78ebd46089500e465ebbe9653155,superseded,dataset-artifact-ccf1dc928f2eaf8057e78396,standardized/derived/csv/tables/logical_dataset_id=physical_10b940e7982c4622b1e1ac879394aba6/reactions.csv,byte_identical_to_non_review_canonical,NOASSERTION,blocked_pending_audit,excluded_duplicate,Legacy duplicate is excluded; the separately classified canonical object is referenced by SHA-256.
dataset-artifact-bfd9d110413010e25d4a96e3,processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=physical_1158e351757f315b93cbcbe7bc55f38e/reactions.csv,10297606246,1812168fa69646d992efc36075a5a3da9c5ab4ae3a3b1883dc790c896320d359,superseded,dataset-artifact-bcb006aee57909d3d35536e5,standardized/derived/csv/tables/logical_dataset_id=physical_1158e351757f315b93cbcbe7bc55f38e/reactions.csv,byte_identical_to_non_review_canonical,NOASSERTION,blocked_pending_audit,excluded_duplicate,Legacy duplicate is excluded; the separately classified canonical object is referenced by SHA-256.
dataset-artifact-e4fbde5fee2e71cf414e6de4,processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=physical_1d3a1a6fb70d46c084602d0688967afc/reactions.csv,1299761,a232c024557a5cc509d0ecd51fd7ce7ccfab8ec8e6f3f860e86602f7355302a8,superseded,dataset-artifact-54b9efcfcdca4a850aaa56d8,standardized/derived/csv/tables/logical_dataset_id=physical_1d3a1a6fb70d46c084602d0688967afc/reactions.csv,byte_identical_to_non_review_canonical,NOASSERTION,blocked_pending_audit,excluded_duplicate,Legacy duplicate is excluded; the separately classified canonical object is referenced by SHA-256.
dataset-artifact-4336984328a92592c8870267,processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=physical_1ec2807f02fa4beda27d2a81b86eb843/reactions.csv,15517423,ba117820ea21bec60d4a0f1aa67cbf3224b72a4fed9ea39c2d3ca8ec4738ff64,superseded,dataset-artifact-c02e10b301e455fbbdca0e6e,standardized/derived/csv/tables/logical_dataset_id=physical_1ec2807f02fa4beda27d2a81b86eb843/reactions.csv,byte_identical_to_non_review_canonical,NOASSERTION,blocked_pending_audit,excluded_duplicate,Legacy duplicate is excluded; the separately classified canonical object is referenced by SHA-256.
dataset-artifact-68914cafd81d209fd66fad18,processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=physical_35a5a513f1dd44a3a97c88da99f81a00/reactions.csv,945740,c445fee80344bde0eb2f36d8ae1713a33f4b23d673423b9fe55969b5de4cbd8c,superseded,dataset-artifact-5583f8d141c50cbbf2b0d72c,standardized/derived/csv/tables/logical_dataset_id=physical_35a5a513f1dd44a3a97c88da99f81a00/reactions.csv,byte_identical_to_non_review_canonical,NOASSERTION,blocked_pending_audit,excluded_duplicate,Legacy duplicate is excluded; the separately classified canonical object is referenced by SHA-256.
dataset-artifact-7da325c0d358f5667eb2af1e,processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=physical_3b5db90e337942ea886b8f5bc5e3aa72/reactions.csv,2781072,211bbf0b8f163238c62cd3e3cfb9ff6c78ac0359be2188d146441c5075978a44,superseded,dataset-artifact-206923f03240dd1bd8e4d5eb,standardized/derived/csv/tables/logical_dataset_id=physical_3b5db90e337942ea886b8f5bc5e3aa72/reactions.csv,byte_identical_to_non_review_canonical,NOASSERTION,blocked_pending_audit,excluded_duplicate,Legacy duplicate is excluded; the separately classified canonical object is referenced by SHA-256.
