reactant-1,reactant-2,catalyst-1,catalyst-2,catalyst-3,catalyst-4,solvent-1,solvent-2,solvent-3,product,temperature_c,reaction_time_s,illumination_wavelength_nm,reflux_value,yield_percent
COC(=O)C(C)(C)Cc1c(SC(C)(C)C)c2cc(OCc3ccc4ccccc4n3)ccc2n1Cc1ccc(Cl)cc1,C1CCNCC1,C1CN2CCN1CC2,COCCOC.[Cl][Ni][Cl],,,CS(C)=O,CS(C)=O,CS(C)=O,COC(=O)C(C)(C)Cc1c(SC(C)(C)C)c2cc(OCc3ccc4ccccc4n3)ccc2n1Cc1ccc(N2CCCCC2)cc1,55.0,57600.0,495.0,0.0,0.0
CCCc1nc2ccc(I)cc2c(=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(C)(C)C)cc1,C1CCNCC1,C1CN2CCN1CC2,COCCOC.[Cl][Ni][Cl],,,CS(C)=O,CS(C)=O,CS(C)=O,CCCc1nc2ccc(N3CCCCC3)cc2c(=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(C)(C)C)cc1,55.0,57600.0,495.0,0.0,100.0
CC1(C)OC(=O)C(Oc2ccc(Br)cn2)=C1c1ccc(S(C)(=O)=O)cc1,C1CCNCC1,C1CN2CCN1CC2,COCCOC.[Cl][Ni][Cl],,,CS(C)=O,CS(C)=O,CS(C)=O,CC1(C)OC(=O)C(Oc2ccc(N3CCCCC3)cn2)=C1c1ccc(S(C)(=O)=O)cc1,55.0,57600.0,495.0,0.0,15.383882522583008
CN1C(=O)C[C@@](C)(c2cc(Br)cs2)N/C1=N/C(=O)OC(C)(C)C,C1CCNCC1,C1CN2CCN1CC2,COCCOC.[Cl][Ni][Cl],,,CS(C)=O,CS(C)=O,CS(C)=O,CN1C(=O)C[C@@](C)(c2cc(N3CCCCC3)cs2)N/C1=N/C(=O)OC(C)(C)C,55.0,57600.0,495.0,0.0,0.7560188174247742
CCCc1nc2ccc(I)cc2c(=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(C)(C)C)cc1,C1CCNCC1,C1CN2CCN1CC2,COCCOC.[Cl][Ni][Cl],,,CS(C)=O,CS(C)=O,CS(C)=O,CCCc1nc2ccc(N3CCCCC3)cc2c(=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(C)(C)C)cc1,55.0,57600.0,495.0,0.0,55.683372497558594
Cc1cc(C#N)cc(C)c1Oc1nc(Nc2ccc(C#N)cc2)nc(N)c1Br,C1CCNCC1,C1CN2CCN1CC2,COCCOC.[Cl][Ni][Cl],,,CS(C)=O,CS(C)=O,CS(C)=O,Cc1cc(C#N)cc(C)c1Oc1nc(Nc2ccc(C#N)cc2)nc(N)c1N1CCCCC1,55.0,57600.0,495.0,0.0,0.0
O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1,C1CCNCC1,C1CN2CCN1CC2,COCCOC.[Cl][Ni][Cl],,,CS(C)=O,CS(C)=O,CS(C)=O,O=C1Nc2ccc(N3CCCCC3)cc2C(C#CC2CC2)(C(F)(F)F)O1,55.0,57600.0,495.0,0.0,2.3462793827056885
O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1,C1CCNCC1,C1CN2CCN1CC2,COCCOC.[Cl][Ni][Cl],,,CS(C)=O,CS(C)=O,CS(C)=O,O=C1Nc2ccc(N3CCCCC3)cc2C(C#CC2CC2)(C(F)(F)F)O1,55.0,57600.0,495.0,0.0,0.0
CCn1c(=O)c2c(nc(N[C@@H]3CCC[C@H]3O)n2Cc2ccc(OC)c(Br)c2)n(CCO)c1=O,C1CCNCC1,C1CN2CCN1CC2,COCCOC.[Cl][Ni][Cl],,,CS(C)=O,CS(C)=O,CS(C)=O,CCn1c(=O)c2c(nc(N[C@@H]3CCC[C@H]3O)n2Cc2ccc(OC)c(N3CCCCC3)c2)n(CCO)c1=O,55.0,57600.0,495.0,0.0,0.0
O=C(NCc1ccc(F)cc1)c1nc(Br)c2cccnc2c1O,C1CCNCC1,C1CN2CCN1CC2,COCCOC.[Cl][Ni][Cl],,,CS(C)=O,CS(C)=O,CS(C)=O,O=C(NCc1ccc(F)cc1)c1nc(N2CCCCC2)c2cccnc2c1O,55.0,57600.0,495.0,0.0,0.0
