artifact_id,old_path,artifact_class,source_sha256,source_sha256_verified,scan_status,blocking_finding_count,informational_finding_count,sensitive_disposition,upload_allowlist_status_after_scan,next_gate
dataset-artifact-7c578b5cbe99420ac8ad2b72,processing/derived/yonod/datasets/lit_10_1038_s44160_023_00351_1/targets/cernak_member_2be11_conversion_percent/target_audit.jsonl,model-ready-audit,3f51edd588cfd439ed80b161e8e1607b25cea68faf7769f4104d6495dfa2d4c9,true,passed_sensitive_gate,0,0,accepted_pending_remaining_gates,eligible_pending_remaining_release_gates,steps-08-through-25
dataset-artifact-7ed3e70ae3bd36d8392b3d6d,processing/derived/yonod/datasets/lit_10_1038_s44160_023_00351_1/targets/cernak_member_2be11_conversion_percent/target_manifest.json,model-ready-metadata,7952aceb17360a31f20285da8005fd390cc66025605f52fcfd253d980bba9d09,true,passed_sensitive_gate,0,0,accepted_pending_remaining_gates,eligible_pending_remaining_release_gates,steps-08-through-25
dataset-artifact-8301bc1b7f8c78fd6a1b9d70,processing/derived/yonod/datasets/lit_10_1038_s44160_023_00351_1/targets/cernak_member_3b8a2e_conversion_percent/exclusions.csv,model-ready-exclusions,387b7fd0074cab67e339a9f755b1bc2bc4fc4ddd9fd342b36f55b8618746df53,true,passed_sensitive_gate,0,0,accepted_pending_remaining_gates,eligible_pending_remaining_release_gates,steps-08-through-25
dataset-artifact-44ee7d1a3441fd775dade2a9,processing/derived/yonod/datasets/lit_10_1038_s44160_023_00351_1/targets/cernak_member_3b8a2e_conversion_percent/row_map.csv,model-ready-row-map,dce561fb9a6e632f141ea638e7a078466c8971d6480104b6719be30d6f7a7dfd,true,passed_sensitive_gate,0,0,accepted_pending_remaining_gates,eligible_pending_remaining_release_gates,steps-08-through-25
dataset-artifact-1c906475222a4426ab210543,processing/derived/yonod/datasets/lit_10_1038_s44160_023_00351_1/targets/cernak_member_3b8a2e_conversion_percent/target_audit.jsonl,model-ready-audit,33c223ede6e04718cb342d266fbbb594f95846e2015d35d7847713505204901a,true,passed_sensitive_gate,0,0,accepted_pending_remaining_gates,eligible_pending_remaining_release_gates,steps-08-through-25
dataset-artifact-924891784edf064f0c40a6c7,processing/derived/yonod/datasets/lit_10_1038_s44160_023_00351_1/targets/cernak_member_3b8a2e_conversion_percent/target_manifest.json,model-ready-metadata,68c44428df64f1f617c78f1ff128f0b7fd61441d6736013e6eddabf1706c1040,true,passed_sensitive_gate,0,0,accepted_pending_remaining_gates,eligible_pending_remaining_release_gates,steps-08-through-25
dataset-artifact-5692114d2a7d810b8fd7bb4f,processing/derived/yonod/datasets/lit_10_1126_science_1259203/exclusions.csv,target-adaptation-evidence,6d54c0a92a984d4e0c746190a886781962be19e40e41d57ed16f6b57f438aad6,true,passed_sensitive_gate,0,0,accepted_pending_remaining_gates,eligible_pending_remaining_release_gates,steps-08-through-25
dataset-artifact-6191a640e4375f841f8d7bbb,processing/derived/yonod/datasets/lit_10_1126_science_1259203/package_manifest.json,target-adaptation-evidence,63a92f8850377b25306728451088f8d36c34e263154e81fddb59e30ecbafd20c,true,passed_sensitive_gate,0,0,accepted_pending_remaining_gates,eligible_pending_remaining_release_gates,steps-08-through-25
dataset-artifact-ec371a245dbac0685af591e2,processing/derived/yonod/datasets/lit_10_1126_science_1259203/row_audit.jsonl,target-adaptation-evidence,cd1e593e3ac3a69d8e2e01614629666b6a986e3000437d2d9a8504b79cfa6b54,true,passed_sensitive_gate,0,0,accepted_pending_remaining_gates,eligible_pending_remaining_release_gates,steps-08-through-25
dataset-artifact-ae07890eac9c442f8d1d4157,processing/derived/yonod/datasets/lit_10_1126_science_1259203/targets/science_hte_diverse_nucleophile_relative_lc_area_ratio/exclusions.csv,model-ready-exclusions,47c82da6b11c70fbb0ce1b73fcf69ebe8fbf34ff10b97127ff154ef926c70741,true,passed_sensitive_gate,0,0,accepted_pending_remaining_gates,eligible_pending_remaining_release_gates,steps-08-through-25
