physical_dataset_id,source_file,source_file_url,source_sha256,evidence_location
ord_dataset-3b8a2ef300e145468579027f206a3ac8,data/3b/ord_dataset-3b8a2ef300e145468579027f206a3ac8.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/3b/ord_dataset-3b8a2ef300e145468579027f206a3ac8.parquet,f8438f4490541ecd38d92208decc48ff33424d52772cc42701b7eb886fc14b8a,intermediate/02-source-evidence/archive-index.csv
ord_dataset-46ff9a32d9e04016b9380b1b1ef949c3,data/46/ord_dataset-46ff9a32d9e04016b9380b1b1ef949c3.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/46/ord_dataset-46ff9a32d9e04016b9380b1b1ef949c3.parquet,39440ea3e5442dddbb4daccbc48fb53940724085327c0e3b82909e1fd8cc661a,intermediate/02-source-evidence/archive-index.csv
ord_dataset-47eaacc46c3a4487bbdf99adb1a15e41,data/47/ord_dataset-47eaacc46c3a4487bbdf99adb1a15e41.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/47/ord_dataset-47eaacc46c3a4487bbdf99adb1a15e41.parquet,7e09c98aa540e15d44959f03028590278bf508650950778568fd264d3a7535c4,intermediate/02-source-evidence/archive-index.csv
ord_dataset-488402f6ec0d441ca2f7d6fabea7c220,data/48/ord_dataset-488402f6ec0d441ca2f7d6fabea7c220.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/48/ord_dataset-488402f6ec0d441ca2f7d6fabea7c220.parquet,d1b658a9ed389f226baa003488c226fbd00dc35c44fc8e5029ef74b030928788,intermediate/02-source-evidence/archive-index.csv
ord_dataset-4d431564f3ef4e9c91d8da5836f4eae6,data/4d/ord_dataset-4d431564f3ef4e9c91d8da5836f4eae6.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/4d/ord_dataset-4d431564f3ef4e9c91d8da5836f4eae6.parquet,be51ac3256a9f6793893bd59878f44f223f50ad530a1f71da0c408abf36ef70a,intermediate/02-source-evidence/archive-index.csv
ord_dataset-52bd3b0ec72c443aab113bcea09bf3f4,data/52/ord_dataset-52bd3b0ec72c443aab113bcea09bf3f4.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/52/ord_dataset-52bd3b0ec72c443aab113bcea09bf3f4.parquet,e3bf70610705d361b92b40c09ceaffff3d4f66002e958e5ea9c47bba9095297a,intermediate/02-source-evidence/archive-index.csv
ord_dataset-5415f83da68e4797856ddd330dda5c61,data/54/ord_dataset-5415f83da68e4797856ddd330dda5c61.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/54/ord_dataset-5415f83da68e4797856ddd330dda5c61.parquet,a186a7a7264e94fd958787a5a6a9d810e9c9c00608f1c6e136416098c39a2165,intermediate/02-source-evidence/archive-index.csv
ord_dataset-5481550056a14935b76e031fb94b88be,data/54/ord_dataset-5481550056a14935b76e031fb94b88be.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/54/ord_dataset-5481550056a14935b76e031fb94b88be.parquet,48508c30931b04b4fe2e3bee55b84c83d10f57578c1ed5ccddbfb81875575702,intermediate/02-source-evidence/archive-index.csv
ord_dataset-5540e162c09f4c04905ddc8ba9c931c6,data/55/ord_dataset-5540e162c09f4c04905ddc8ba9c931c6.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/55/ord_dataset-5540e162c09f4c04905ddc8ba9c931c6.parquet,7e44b014c9041d86e00bc4fb4b70b3c6b3b94c0e35634467ace02c330efcd1a4,intermediate/02-source-evidence/archive-index.csv
ord_dataset-55de08a995554f558c25fc43eac62359,data/55/ord_dataset-55de08a995554f558c25fc43eac62359.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/55/ord_dataset-55de08a995554f558c25fc43eac62359.parquet,9e4c3fefafe68d6cb43d5a39b8c441f440ce0c4626abbbe695c922089557b0f7,intermediate/02-source-evidence/archive-index.csv
