physical_dataset_id,source_file_id,upstream_path,source_file_url,upstream_revision,source_sha256,git_lfs_oid,size_bytes,reaction_count,license_id,verification_status
ord_dataset-675eddcaa6674ce3ae61e79bbc1e1c08,ord_dataset-675eddcaa6674ce3ae61e79bbc1e1c08,data/67/ord_dataset-675eddcaa6674ce3ae61e79bbc1e1c08.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/67/ord_dataset-675eddcaa6674ce3ae61e79bbc1e1c08.parquet,83f971f586f6ad18f358ae4ae99d045e94ed2066,1ecc5469785e55997f244eb5f8d6dbc78029cbb233bd6a140b5f02d5d01860a1,1ecc5469785e55997f244eb5f8d6dbc78029cbb233bd6a140b5f02d5d01860a1,114800,1536,CC-BY-SA-4.0,verified
ord_dataset-68cb8b4b2b384e3d85b5b1efae58b203,ord_dataset-68cb8b4b2b384e3d85b5b1efae58b203,data/68/ord_dataset-68cb8b4b2b384e3d85b5b1efae58b203.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/68/ord_dataset-68cb8b4b2b384e3d85b5b1efae58b203.parquet,83f971f586f6ad18f358ae4ae99d045e94ed2066,36cea7705307a5e359a176ed3862994e3edc60ae4363fc2f3c5862affff6bb21,36cea7705307a5e359a176ed3862994e3edc60ae4363fc2f3c5862affff6bb21,419710,5760,CC-BY-SA-4.0,verified
ord_dataset-6a0bfcdf53a64c07987822162ae591e2,ord_dataset-6a0bfcdf53a64c07987822162ae591e2,data/6a/ord_dataset-6a0bfcdf53a64c07987822162ae591e2.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/6a/ord_dataset-6a0bfcdf53a64c07987822162ae591e2.parquet,83f971f586f6ad18f358ae4ae99d045e94ed2066,f970251d44ad75b68c8f6b8f3f28ff97f540fb7967d3bbc9b7338a7d7290ed3a,f970251d44ad75b68c8f6b8f3f28ff97f540fb7967d3bbc9b7338a7d7290ed3a,16175,3,CC-BY-SA-4.0,verified
ord_dataset-7acd6ad2bf4d4cff841cad008ab726d5,ord_dataset-7acd6ad2bf4d4cff841cad008ab726d5,data/7a/ord_dataset-7acd6ad2bf4d4cff841cad008ab726d5.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/7a/ord_dataset-7acd6ad2bf4d4cff841cad008ab726d5.parquet,83f971f586f6ad18f358ae4ae99d045e94ed2066,b6dfe8e151a396c5332668c015bce764d23c667240e443495990205c66e4a1e5,b6dfe8e151a396c5332668c015bce764d23c667240e443495990205c66e4a1e5,72692,960,CC-BY-SA-4.0,verified
ord_dataset-7d8f5fd922d4497d91cb81489b052746,ord_dataset-7d8f5fd922d4497d91cb81489b052746,data/7d/ord_dataset-7d8f5fd922d4497d91cb81489b052746.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/7d/ord_dataset-7d8f5fd922d4497d91cb81489b052746.parquet,83f971f586f6ad18f358ae4ae99d045e94ed2066,3d657d1eda5703b58b627565894890269b50b18e987709e70fd7968d83e59101,3d657d1eda5703b58b627565894890269b50b18e987709e70fd7968d83e59101,194483,1536,CC-BY-SA-4.0,verified
ord_dataset-805ad863feef48579d95d86a728035f4,ord_dataset-805ad863feef48579d95d86a728035f4,data/80/ord_dataset-805ad863feef48579d95d86a728035f4.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/80/ord_dataset-805ad863feef48579d95d86a728035f4.parquet,83f971f586f6ad18f358ae4ae99d045e94ed2066,31b7c4762145e5dad973050373cd967bdd85caf3a9858767c83a17fed6c4af36,31b7c4762145e5dad973050373cd967bdd85caf3a9858767c83a17fed6c4af36,5088296,50688,CC-BY-SA-4.0,verified
ord_dataset-89b083710e2d441aa0040c361d63359f,ord_dataset-89b083710e2d441aa0040c361d63359f,data/89/ord_dataset-89b083710e2d441aa0040c361d63359f.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/89/ord_dataset-89b083710e2d441aa0040c361d63359f.parquet,83f971f586f6ad18f358ae4ae99d045e94ed2066,9a5cbdae282df3da7249e7525b7ecb739e4892061abe1f66e62c3fd69736ad72,9a5cbdae282df3da7249e7525b7ecb739e4892061abe1f66e62c3fd69736ad72,21940,24,CC-BY-SA-4.0,verified
ord_dataset-8d1e28ec1f6b4ee8ad372e0b5ed7a62e,ord_dataset-8d1e28ec1f6b4ee8ad372e0b5ed7a62e,data/8d/ord_dataset-8d1e28ec1f6b4ee8ad372e0b5ed7a62e.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/8d/ord_dataset-8d1e28ec1f6b4ee8ad372e0b5ed7a62e.parquet,83f971f586f6ad18f358ae4ae99d045e94ed2066,e4f7505229e29321b5615f32ec2edcf45c9bc531bee2810d2a8985319b7ee127,e4f7505229e29321b5615f32ec2edcf45c9bc531bee2810d2a8985319b7ee127,20904,27,CC-BY-SA-4.0,verified
ord_dataset-99c23cf435dc42f1af884053bc8b11c7,ord_dataset-99c23cf435dc42f1af884053bc8b11c7,data/99/ord_dataset-99c23cf435dc42f1af884053bc8b11c7.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/99/ord_dataset-99c23cf435dc42f1af884053bc8b11c7.parquet,83f971f586f6ad18f358ae4ae99d045e94ed2066,e01a389cac3e6cce5746ef54dbe6b8d3040d764f987b1fc13790f5aeff5598fa,e01a389cac3e6cce5746ef54dbe6b8d3040d764f987b1fc13790f5aeff5598fa,210626,1111,CC-BY-SA-4.0,verified
ord_dataset-9b8aa9a7835143ef8ce3f70abfab7545,ord_dataset-9b8aa9a7835143ef8ce3f70abfab7545,data/9b/ord_dataset-9b8aa9a7835143ef8ce3f70abfab7545.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/9b/ord_dataset-9b8aa9a7835143ef8ce3f70abfab7545.parquet,83f971f586f6ad18f358ae4ae99d045e94ed2066,195765643b4aaad79d9ed82de6737a4855b9f2716e0bc0aa10cff950b7604d39,195765643b4aaad79d9ed82de6737a4855b9f2716e0bc0aa10cff950b7604d39,126909,1762,CC-BY-SA-4.0,verified
ord_dataset-a12fa15d036d489c971b0b514caeae52,ord_dataset-a12fa15d036d489c971b0b514caeae52,data/a1/ord_dataset-a12fa15d036d489c971b0b514caeae52.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/a1/ord_dataset-a12fa15d036d489c971b0b514caeae52.parquet,83f971f586f6ad18f358ae4ae99d045e94ed2066,ea52ef52e2ecf3eb33d74ca3ffac14ef539357551d252fbc706e95f60c94fca6,ea52ef52e2ecf3eb33d74ca3ffac14ef539357551d252fbc706e95f60c94fca6,39322,288,CC-BY-SA-4.0,verified
ord_dataset-ac78456835404910b3a4c840248b6ac9,ord_dataset-ac78456835404910b3a4c840248b6ac9,data/ac/ord_dataset-ac78456835404910b3a4c840248b6ac9.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/ac/ord_dataset-ac78456835404910b3a4c840248b6ac9.parquet,83f971f586f6ad18f358ae4ae99d045e94ed2066,52a9d0084abc051a792bfb71501af03ec13bdabc24a7db4e33b7223ddf8c884c,52a9d0084abc051a792bfb71501af03ec13bdabc24a7db4e33b7223ddf8c884c,126388,1728,CC-BY-SA-4.0,verified
