reactant-1,reactant-2,reagent-1,reagent-2,reagent-3,catalyst-1,solvent-1,solvent-2,solvent-3,solvent-4,solvent-5,solvent-6,solvent-7,temperature_c,reaction_time_s,conversion_percent
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,CC(=O)c1cc(C)cc(C)c1,CC(=O)O,CC(C)[O-].CC(C)[O-].CC(C)[O-].CC(C)[O-].[Ti+4],CC(=O)O[BH-](OC(C)=O)OC(C)=O.[Na+],,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,22.0,64800.0,0.0
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,O=C1CCCC1,CC(=O)O,CC(C)[O-].CC(C)[O-].CC(C)[O-].CC(C)[O-].[Ti+4],CC(=O)O[BH-](OC(C)=O)OC(C)=O.[Na+],,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,22.0,64800.0,1.0
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,O=C1CCCC1,CC(=O)O,CC(C)[O-].CC(C)[O-].CC(C)[O-].CC(C)[O-].[Ti+4],CC(=O)O[BH-](OC(C)=O)OC(C)=O.[Na+],,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,22.0,64800.0,2.0
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,Cn1nc(C=O)nc1-c1ccccn1,CC(=O)O,CC(C)[O-].CC(C)[O-].CC(C)[O-].CC(C)[O-].[Ti+4],CC(=O)O[BH-](OC(C)=O)OC(C)=O.[Na+],,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,22.0,64800.0,100.0
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,O=CC=Cc1ccccc1,CC(=O)O,CC(C)[O-].CC(C)[O-].CC(C)[O-].CC(C)[O-].[Ti+4],CC(=O)O[BH-](OC(C)=O)OC(C)=O.[Na+],,CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,22.0,64800.0,52.0
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,Cc1ccc(C=O)cc1C,CC(=O)O,CC(C)[O-].CC(C)[O-].CC(C)[O-].CC(C)[O-].[Ti+4],CC(=O)O[BH-](OC(C)=O)OC(C)=O.[Na+],,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,22.0,64800.0,98.0
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,O=C1CCC(n2cccn2)C1,CC(=O)O,CC(C)[O-].CC(C)[O-].CC(C)[O-].CC(C)[O-].[Ti+4],CC(=O)O[BH-](OC(C)=O)OC(C)=O.[Na+],,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,22.0,64800.0,4.0
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,Cn1cc(C=O)c(C2CC2)n1,CC(=O)O,CC(C)[O-].CC(C)[O-].CC(C)[O-].CC(C)[O-].[Ti+4],CC(=O)O[BH-](OC(C)=O)OC(C)=O.[Na+],,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,22.0,64800.0,73.0
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,O=Cc1ccc2c(n1)NC(=O)CC2,CC(=O)O,CC(C)[O-].CC(C)[O-].CC(C)[O-].CC(C)[O-].[Ti+4],CC(=O)O[BH-](OC(C)=O)OC(C)=O.[Na+],,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,22.0,64800.0,0.0
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,CC(=O)Nc1ccc(C=O)cc1,CC(=O)O,CC(C)[O-].CC(C)[O-].CC(C)[O-].CC(C)[O-].[Ti+4],CC(=O)O[BH-](OC(C)=O)OC(C)=O.[Na+],,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,22.0,64800.0,96.0
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,CC(=O)c1cc(C)cc(C)c1,CC(=O)O,CC(C)[O-].CC(C)[O-].CC(C)[O-].CC(C)[O-].[Ti+4],CC(=O)O[BH-](OC(C)=O)OC(C)=O.[Na+],,CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,22.0,64800.0,0.0
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,CC(=O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,CC(=O)O,CC(C)[O-].CC(C)[O-].CC(C)[O-].CC(C)[O-].[Ti+4],CC(=O)O[BH-](OC(C)=O)OC(C)=O.[Na+],,CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,22.0,64800.0,0.0
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,O=CCCc1ccccc1,CC(=O)O,CC(C)[O-].CC(C)[O-].CC(C)[O-].CC(C)[O-].[Ti+4],CC(=O)O[BH-](OC(C)=O)OC(C)=O.[Na+],,CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,22.0,64800.0,20.0
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,CC(=O)/C=C/c1ccccc1,CC(=O)O,CC(C)[O-].CC(C)[O-].CC(C)[O-].CC(C)[O-].[Ti+4],CC(=O)O[BH-](OC(C)=O)OC(C)=O.[Na+],,CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,22.0,64800.0,3.0
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,COc1cc(/C=C/C=O)ccc1O,CC(=O)O,CC(C)[O-].CC(C)[O-].CC(C)[O-].CC(C)[O-].[Ti+4],CC(=O)O[BH-](OC(C)=O)OC(C)=O.[Na+],,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,22.0,64800.0,77.0
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,O=C1CCC(n2cccn2)C1,CC(=O)O,CC(C)[O-].CC(C)[O-].CC(C)[O-].CC(C)[O-].[Ti+4],CC(=O)O[BH-](OC(C)=O)OC(C)=O.[Na+],,CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,22.0,64800.0,1.0
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,CC(=O)c1cc(C)cc(C)c1,CC(=O)O,CC(C)[O-].CC(C)[O-].CC(C)[O-].CC(C)[O-].[Ti+4],CC(=O)O[BH-](OC(C)=O)OC(C)=O.[Na+],,CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,22.0,64800.0,0.0
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,O=CC=Cc1ccccc1,CC(=O)O,CC(C)[O-].CC(C)[O-].CC(C)[O-].CC(C)[O-].[Ti+4],CC(=O)O[BH-](OC(C)=O)OC(C)=O.[Na+],,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,22.0,64800.0,35.0
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,O=Cc1ccc2c(n1)NC(=O)CC2,CC(=O)O,CC(C)[O-].CC(C)[O-].CC(C)[O-].CC(C)[O-].[Ti+4],CC(=O)O[BH-](OC(C)=O)OC(C)=O.[Na+],,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,22.0,64800.0,0.0
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,O=Cc1ccc(-c2nn[nH]n2)cc1,CC(=O)O,CC(C)[O-].CC(C)[O-].CC(C)[O-].CC(C)[O-].[Ti+4],CC(=O)O[BH-](OC(C)=O)OC(C)=O.[Na+],,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,22.0,64800.0,98.0
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,O=C1CCCC1,CC(=O)O,CC(C)[O-].CC(C)[O-].CC(C)[O-].CC(C)[O-].[Ti+4],CC(=O)O[BH-](OC(C)=O)OC(C)=O.[Na+],,CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,22.0,64800.0,0.0
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,Cc1csc(C=O)n1,CC(=O)O,CC(C)[O-].CC(C)[O-].CC(C)[O-].CC(C)[O-].[Ti+4],CC(=O)O[BH-](OC(C)=O)OC(C)=O.[Na+],,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,22.0,64800.0,100.0
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,CC(=O)c1cc(C)cc(C)c1,CC(=O)O,CC(C)[O-].CC(C)[O-].CC(C)[O-].CC(C)[O-].[Ti+4],CC(=O)O[BH-](OC(C)=O)OC(C)=O.[Na+],,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,22.0,64800.0,0.0
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,CC(=O)Nc1ccc(C=O)cc1,CC(=O)O,CC(C)[O-].CC(C)[O-].CC(C)[O-].CC(C)[O-].[Ti+4],CC(=O)O[BH-](OC(C)=O)OC(C)=O.[Na+],,CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,22.0,64800.0,95.0
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,O=CCCCCO,CC(=O)O,CC(C)[O-].CC(C)[O-].CC(C)[O-].CC(C)[O-].[Ti+4],CC(=O)O[BH-](OC(C)=O)OC(C)=O.[Na+],,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,22.0,64800.0,89.0
