reactant-1,reagent-1,reagent-2,reagent-3,reagent-4,reagent-5,catalyst-1,catalyst-2,solvent-1,solvent-2,product,temperature_c,reaction_time_s,yield_percent
CCOP(=O)(OCC)c1ccccc1C(F)(F)F,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,O=C(Nc1ccccc1-c1ccc(-c2ccccn2)nc1)NC1CCCCC1,,,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[OH2+].C[OH2+].[Ir].[Ir],,Cc1ccc(C)cc1,,CCOP(=O)(OCC)c1cc(B2OC(C)(C)C(C)(C)O2)ccc1C(F)(F)F,40.0,57600.0,43.0
COc1cccc(OC)c1,C1CCc2c(c3c(c4c2CCCC4)CCCC3)C1,CC1(C)OBOC1(C)C,,,,,,C1COCCO1,,COc1cc(OC)cc(B2OC(C)(C)C(C)(C)O2)c1,80.0,28800.0,88.0
CCCCCCN1CCCCC1,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,Cc1ccc2ccc3cccnc3c2n1,,,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[OH2+].C[OH2+].[Ir].[Ir],,C1CCCCCCC1,,CC1(C)OB(CCCCCCN2CCCCC2)OC1(C)C,100.0,72000.0,63.0
Cc1nc2ccccc2o1,CC(C)(C)c1ccnc(-c2cc(C(C)(C)C)ccn2)c1,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,,,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[OH2+].C[OH2+].[Ir].[Ir],,C1CCOC1,,Cc1nc2cccc(B3OC(C)(C)C(C)(C)O3)c2o1,25.0,93600.0,43.0
COc1cccc(F)c1,CC(C)(C)c1ccnc(-c2cc(C(C)(C)C)ccn2)c1,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,,,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[OH2+].C[OH2+].[Ir].[Ir],,C1CCOC1,,COc1ccc(B2OC(C)(C)C(C)(C)O2)c(F)c1,50.0,86400.0,58.0
CN(C)N=Cc1cccc2ccccc12,CC1(C)OBOC1(C)C,C(=NN(Cc1ccccc1)Cc1ccccc1)c1ccccn1,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[OH2+].C[OH2+].[Ir].[Ir],,C1CCOC1,,CN(C)N=Cc1c(B2OC(C)(C)C(C)(C)O2)ccc2ccccc12,80.0,86400.0,95.0
Cc1cccc(N(C)C)c1,C1CCc2c(c3c(c4c2CCCC4)CCCC3)C1,Cc1cnc2c(ccc3c(C)c(C)cnc32)c1C,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[OH2+].C[OH2+].[Ir].[Ir],,C1CCOC1,,Cc1cc(B2OC(C)(C)C(C)(C)O2)cc(N(C)C)c1,80.0,28800.0,61.0
COc1cccc(C=O)c1OC,CC1(C)OBOC1(C)C,Nc1cccc2cccnc12,CC(C)(C)N,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[OH2+].C[OH2+].[Ir].[Ir],,C1CCOC1,,COc1ccc(B2OC(C)(C)C(C)(C)O2)c(C=O)c1OC,90.0,43200.0,64.0
CCC(CC)C(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,CC[N+](CC)(CC)CC.F[B-](F)(F)F,COc1cc(OC)c2ccccc2n1,CC(=O)O,O=C(O)O.[K],CC(=O)O.[Pd],,CC#N,,CCC(C(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F)C(C)B1OC(C)(C)C(C)(C)O1,80.0,54000.0,25.0
COc1cccnc1-c1cccc2ccccc12,C(=NN(Cc1ccccc1)Cc1ccccc1)c1ccccn1,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,CC1(C)OBOC1(C)C,,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[OH2+].C[OH2+].[Ir].[Ir],,C1CCOC1,,COc1cccnc1-c1c(B2OC(C)(C)C(C)(C)O2)ccc2ccccc12,80.0,43200.0,69.0
