reactant-1,reagent-1,reagent-2,reagent-3,reagent-4,reagent-5,catalyst-1,catalyst-2,solvent-1,solvent-2,product,temperature_c,reaction_time_s,yield_percent
Cc1cccc(Br)c1,C1CCc2c(c3c(c4c2CCCC4)CCCC3)C1,CC1(C)OBOC1(C)C,,,,,,CCCCCC,,Cc1cc(Br)cc(B2OC(C)(C)C(C)(C)O2)c1,25.0,14400.0,60.0
O=Cc1ccccc1Cl,CN,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,Cc1cnc2c(ccc3c(C)c(C)cnc32)c1C,CC1(C)OBOC1(C)C,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[OH2+].C[OH2+].[Ir].[Ir],,C1CCOC1,,CC1(C)OB(c2ccc(Cl)c(C=O)c2)OC1(C)C,90.0,43200.0,73.0
Oc1ccc(Cl)cc1,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,CC1(C)OBOC1(C)C,CC(C)(C)c1ccnc(-c2cc(C(C)(C)C)ccn2)c1,,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[OH2+].C[OH2+].[Ir].[Ir],,C1CCCCC1,,CC1(C)OB(c2cc(Cl)ccc2O)OC1(C)C,80.0,10800.0,80.0
C[Si](C)(C)c1cc2ccccc2[nH]1,CC(C)(C)c1ccnc(-c2cc(C(C)(C)C)ccn2)c1,CC1(C)OBOC1(C)C,,,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[OH2+].C[OH2+].[Ir].[Ir],,CCCCCC,,CC1(C)OB(c2cccc3cc([Si](C)(C)C)[nH]c23)OC1(C)C,60.0,3600.0,76.0
N#Cc1ncccn1,Cc1cnc2c(ccc3c(C)c(C)cnc32)c1C,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,,,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[OH2+].C[OH2+].[Ir].[Ir],,C1CCOC1,,CC1(C)OB(c2cnc(C#N)nc2)OC1(C)C,25.0,68400.0,54.0
CC(C)(C)C(=O)n1ccc2ccc(F)cc21,CC(C)(O)C(C)(C)O,BrB(Br)Br,,,,,,,,CC(C)(C)C(=O)n1ccc2ccc(F)c(B3OC(C)(C)C(C)(C)O3)c21,25.0,57600.0,64.0
C1CCOC1,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,Cc1cc(C)c(-c2cnc3c(ccc4c(Cl)c(-c5c(C)cc(C)cc5C)cnc43)c2Cl)c(C)c1,,,,,,,,CC1(C)OB(C2CCOC2)OC1(C)C,100.0,172800.0,28.0
COc1ccc(C=O)cc1OC,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,Nc1cccc2cccnc12,CC(C)(C)N,CC1(C)OBOC1(C)C,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[OH2+].C[OH2+].[Ir].[Ir],,C1CCOC1,,COc1cc(C=O)c(B2OC(C)(C)C(C)(C)O2)cc1OC,90.0,43200.0,84.0
COc1ccc(C=O)cc1,CC1(C)OBOC1(C)C,CC(C)(C)N,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,Nc1cccc2cccnc12,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[OH2+].C[OH2+].[Ir].[Ir],,C1CCOC1,,COc1ccc(C=O)c(B2OC(C)(C)C(C)(C)O2)c1,90.0,43200.0,60.0
C1CCOC1,Cc1cc(C)c(-c2cnc3c(ccc4c(C[Si](C(C)C)(C(C)C)C(C)C)c(-c5c(C)cc(C)cc5C)cnc43)c2C[Si](C(C)C)(C(C)C)C(C)C)c(C)c1,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,,,,,,,,CC1(C)OB(C2CCOC2)OC1(C)C,100.0,172800.0,70.0
Cc1cccc(N(C)C)c1,CC1(C)OBOC1(C)C,C1CCc2c(c3c(c4c2CCCC4)CCCC3)C1,CC(C)(C)c1ccnc(-c2cc(C(C)(C)C)ccn2)c1,,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[OH2+].C[OH2+].[Ir].[Ir],,C1CCOC1,,Cc1cc(B2OC(C)(C)C(C)(C)O2)cc(N(C)C)c1,80.0,28800.0,13.0
CCOC(=O)c1ccccc1Cl,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,CC(C)(C)O.[K],O=c1ccc2cccc(-c3ccc(-c4ccccn4)nc3)c2[nH]1,,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[OH2+].C[OH2+].[Ir].[Ir],,C1CCOC1,,CCOC(=O)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1Cl,80.0,43200.0,93.0
COc1cccc(OC)c1,CC1(C)OBOC1(C)C,C1CCc2c(c3c(c4c2CCCC4)CCCC3)C1,,,,,,C1CCOC1,,COc1cc(OC)cc(B2OC(C)(C)C(C)(C)O2)c1,80.0,28800.0,85.0
CN(C)c1ccccc1,CCN(CC)CC,B1Oc2ccccc2O1,CC(C)(O)C(C)(C)O,,,Fc1c(F)c(F)c(B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,,Cc1ccccc1,,CN(C)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1,100.0,144000.0,98.0
CN(C)N=Cc1ccc(Cl)cc1,C(=NN(Cc1ccccc1)Cc1ccccc1)c1ccccn1,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,CC1(C)OBOC1(C)C,,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[OH2+].C[OH2+].[Ir].[Ir],,C1CCOC1,,CN(C)N=Cc1ccc(Cl)cc1B1OC(C)(C)C(C)(C)O1,80.0,28800.0,73.0
Cc1cccc(N(C)C)c1,c1ccc(P(CCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,CC1(C)OBOC1(C)C,C1CCc2c(c3c(c4c2CCCC4)CCCC3)C1,,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[OH2+].C[OH2+].[Ir].[Ir],,C1CCOC1,,Cc1cc(B2OC(C)(C)C(C)(C)O2)cc(N(C)C)c1,80.0,28800.0,0.0
Cc1cccc(Br)c1,C1CCc2c(c3c(c4c2CCCC4)CCCC3)C1,CC1(C)OBOC1(C)C,,,,,,CC(=O)OC(C)C,,Cc1cc(Br)cc(B2OC(C)(C)C(C)(C)O2)c1,25.0,14400.0,41.0
CSc1cccc(N2CCCC2)c1,Cc1ccnc(-c2cc(C)ccn2)c1,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,,,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[OH2+].C[OH2+].[Ir].[Ir],,Cc1ccc(C)cc1,,CSc1cc(B2OC(C)(C)C(C)(C)O2)cc(N2CCCC2)c1,55.0,86400.0,63.0
Cc1cccc(N(C)C)c1,CC(C)(C)c1ccnc(-c2cc(C(C)(C)C)ccn2)c1,C1CCc2c(c3c(c4c2CCCC4)CCCC3)C1,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[OH2+].C[OH2+].[Ir].[Ir],,C1CCOC1,,Cc1cc(B2OC(C)(C)C(C)(C)O2)cc(N(C)C)c1,80.0,28800.0,47.0
CC1(C(=O)Nc2c(F)c(F)c(C(F)(F)F)c(F)c2F)CC1,COc1cc(OC)c2ccccc2n1,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,CC(=O)O,CC[N+](CC)(CC)CC.F[B-](F)(F)F,O=C(O)O.[K],CC(=O)O.[Pd],,CC#N,,CC1(C(=O)Nc2c(F)c(F)c(C(F)(F)F)c(F)c2F)CC1B1OC(C)(C)C(C)(C)O1,80.0,54000.0,56.0
COc1ccc(C=O)cc1,CC1(C)OBOC1(C)C,Cc1cnc2c(ccc3c(C)c(C)cnc32)c1C,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,CN,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[OH2+].C[OH2+].[Ir].[Ir],,C1CCOC1,,COc1ccc(C=O)cc1B1OC(C)(C)C(C)(C)O1,90.0,43200.0,70.0
CCOC(=O)c1ccccc1Cc1ccccc1,O=c1ccc2cccc(-c3ccc(-c4ccccn4)nc3)c2[nH]1,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,CC(C)(C)O.[K],,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[OH2+].C[OH2+].[Ir].[Ir],,C1CCOC1,,CCOC(=O)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1Cc1ccccc1,80.0,43200.0,87.0
Cc1cccc(N(C)C)c1,C1CCc2c(c3c(c4c2CCCC4)CCCC3)C1,CC(C)(C)c1ccnc(-c2cc(C(C)(C)C)ccn2)c1,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[OH2+].C[OH2+].[Ir].[Ir],,C1CCOC1,,Cc1cc(B2OC(C)(C)C(C)(C)O2)cc(N(C)C)c1,80.0,28800.0,55.0
Cc1cccc(N(C)C)c1,Cc1cnc2c(ccc3c(C)c(C)cnc32)c1C,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,C1CCc2c(c3c(c4c2CCCC4)CCCC3)C1,,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[OH2+].C[OH2+].[Ir].[Ir],,C1CCOC1,,Cc1cc(B2OC(C)(C)C(C)(C)O2)cc(N(C)C)c1,80.0,28800.0,68.0
CN(C(=O)c1ccccc1)C1CCCCC1,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,O=c1ccc2cccc(-c3ccc(-c4ccccn4)nc3)c2[nH]1,,,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[OH2+].C[OH2+].[Ir].[Ir],CC(C)(C)O.[K],C1CCOC1,,CN(C(=O)c1cccc(B2OC(C)(C)C(C)(C)O2)c1)C1CCCCC1,80.0,43200.0,85.0
CC(C)[Si](C(C)C)(C(C)C)n1ccc2cc(Cl)ccc21,CC(C)(O)C(C)(C)O,B1Oc2ccccc2O1,CCN(CC)CC,,,Fc1c(F)c(F)c(B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,,Clc1ccccc1,,CC(C)[Si](C(C)C)(C(C)C)n1cc(B2OC(C)(C)C(C)(C)O2)c2cc(Cl)ccc21,120.0,259200.0,59.0
CSc1ccccc1,CC1CC(C)(C)OB(c2ccccc2-c2ccc(-c3ccccn3)nc2)O1,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,,,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[OH2+].C[OH2+].[Ir].[Ir],,Cc1ccc(C)cc1,,CSc1ccccc1B1OC(C)(C)C(C)(C)O1,55.0,86400.0,51.0
CCCCCCN(CCCCCC)C(=O)c1cccc(Br)c1,CC(C)(C)c1ccnc(-c2cc(C(C)(C)C)ccn2)c1,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,,,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[OH2+].C[OH2+].[Ir].[Ir],,Cc1ccc(C)cc1,,CCCCCCN(CCCCCC)C(=O)c1cc(Br)cc(B2OC(C)(C)C(C)(C)O2)c1,25.0,57600.0,99.0
Fc1cc(F)c(F)c(F)c1F,c1ccc(N2B(B3Nc4ccccc4N3c3ccccn3)Nc3ccccc32)nc1,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,,,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[OH2+].C[OH2+].[Ir].[Ir],,COC1CCCC1,,CC1(C)OB(c2c(F)c(F)c(F)c(F)c2F)OC1(C)C,100.0,57600.0,87.0
O=C(NCc1ccccc1)c1ccc(Br)cc1,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,Cc1[nH]c2c(NC(=O)c3ccc(-c4ccccn4)nc3)cccc2c1C,,,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[OH2+].C[OH2+].[Ir].[Ir],,C1CCOC1,,CC1(C)OB(c2cc(Br)ccc2C(=O)NCc2ccccc2)OC1(C)C,60.0,345600.0,67.0
COc1ccc2[nH]ccc2c1,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,,,,,Cc1cc(C)c(-n2ccn(-c3c(C)cc(C)cc3C)[c]2=[Ni]=[c]2n(-c3c(C)cc(C)cc3C)ccn2-c2c(C)cc(C)cc2C)c(C)c1,,CCCCCC,,COc1ccc2[nH]cc(B3OC(C)(C)C(C)(C)O3)c2c1,60.0,14400.0,63.0
CCN(CC)C(=O)c1ccccc1,O=c1ccc2cccc(-c3ccc(-c4ccccn4)nc3)c2[nH]1,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,,,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[OH2+].C[OH2+].[Ir].[Ir],CC(C)(C)O.[K],C1CCOC1,,CCN(CC)C(=O)c1cccc(B2OC(C)(C)C(C)(C)O2)c1,80.0,43200.0,77.0
COc1ccc2oc(C)nc2c1,Cc1cnc2c(ccc3c(C)c(C)cnc32)c1C,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,,,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[OH2+].C[OH2+].[Ir].[Ir],,C1CCOC1,,COc1cc(B2OC(C)(C)C(C)(C)O2)c2oc(C)nc2c1,25.0,144000.0,81.0
CCCCCC(=O)N(Cc1ccccc1)Cc1ccccc1,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,O=C(Nc1ccccc1-c1cccnc1)NC1CCCCC1,Cc1cccc(C)n1,CC(C)[Si](Oc1ccc2ccccc2c1-c1c(Op2oc3ccc4ccccc4c3c3c(ccc4ccccc43)o2)ccc2ccccc12)(C(C)C)C(C)C,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[OH2+].C[OH2+].[Ir].[Ir],,Cc1ccccc1,COC1CCCC1,CCC(CCC(=O)N(Cc1ccccc1)Cc1ccccc1)B1OC(C)(C)C(C)(C)O1,25.0,172800.0,99.0
CCc1ccc(C=O)cc1,Nc1cccc2cccnc12,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,CC1(C)OBOC1(C)C,CC(C)(C)N,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[OH2+].C[OH2+].[Ir].[Ir],,C1CCOC1,,CCc1ccc(C=O)c(B2OC(C)(C)C(C)(C)O2)c1,90.0,43200.0,80.0
O=C(Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F)c1ccccc1,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,O=C(C=Cc1ccccc1)C=Cc1ccccc1,Cc1ccc(S(=O)(=O)O)cc1.[Na],O=S(=O)(O)OOS(=O)(=O)O.[K],,CC(=O)O.[Pd],,CC#N,,CC1(C)OB(c2ccccc2C(=O)Nc2c(F)c(F)c(C(F)(F)F)c(F)c2F)OC1(C)C,80.0,43200.0,48.0
CCOC(=O)c1ccccc1C(=O)OCC,O=c1ccc2cccc(-c3ccc(-c4ccccn4)nc3)c2[nH]1,CC(C)(C)O.[K],CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[OH2+].C[OH2+].[Ir].[Ir],,C1CCOC1,,CCOC(=O)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1C(=O)OCC,80.0,43200.0,98.0
Cc1ccccc1,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,,,,,Cc1cc2[n]3->[Co+3]([BH-]4OC(C)(C)C(C)(C)O4)([PH](C(C)C)(C(C)C)C2)[PH](C(C)C)(C(C)C)Cc3c1,,C1CCOC1,,Cc1cccc(B2OC(C)(C)C(C)(C)O2)c1,80.0,154800.0,27.0
CN1CCc2ccccc21,B1Oc2ccccc2O1,CC(C)(O)C(C)(C)O,CCN(CC)CC,,,Fc1c(F)c(F)c(B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,,Cc1ccccc1,,CN1CCc2cc(B3OC(C)(C)C(C)(C)O3)ccc21,100.0,172800.0,32.0
O=C(Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F)c1ccccc1,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,O=S(=O)(O)OOS(=O)(=O)O.[K],Cc1ccc(S(=O)(=O)O)cc1.[Na],,,CC(=O)O.[Pd],,CC#N,,CC1(C)OB(c2ccccc2C(=O)Nc2c(F)c(F)c(C(F)(F)F)c(F)c2F)OC1(C)C,80.0,43200.0,31.0
Cc1ccc2[nH]ccc2c1,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,,,,,Cc1cc(C)c(-n2ccn(-c3c(C)cc(C)cc3C)[c]2=[Ni]=[c]2n(-c3c(C)cc(C)cc3C)ccn2-c2c(C)cc(C)cc2C)c(C)c1,,CCCCCC,,Cc1ccc2[nH]cc(B3OC(C)(C)C(C)(C)O3)c2c1,60.0,14400.0,77.0
O=C(c1ccccc1)N1CCOCC1,O=c1ccc2cccc(-c3ccc(-c4ccccn4)nc3)c2[nH]1,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,,,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[OH2+].C[OH2+].[Ir].[Ir],CC(C)(C)O.[K],C1CCOC1,,CC1(C)OB(c2cccc(C(=O)N3CCOCC3)c2)OC1(C)C,80.0,43200.0,81.0
COc1cccc(OC)c1,CC1(C)OBOC1(C)C,C1CCc2c(c3c(c4c2CCCC4)CCCC3)C1,,,,,,C1COCCO1,,COc1cc(OC)cc(B2OC(C)(C)C(C)(C)O2)c1,80.0,28800.0,39.0
CC(Cc1c(F)cccc1F)C(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,COc1cc(OC)c2ccccc2n1,CC[N+](CC)(CC)CC.F[B-](F)(F)F,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,O=C(O)O.[K],CC(=O)O,CC(=O)O.[Pd],,CC#N,,CC1(C)OB(CC(Cc2c(F)cccc2F)C(=O)Nc2c(F)c(F)c(C(F)(F)F)c(F)c2F)OC1(C)C,80.0,54000.0,52.0
COc1c(C)cccc1C,CC(C)(C)c1ccnc(-c2cc(C(C)(C)C)ccn2)c1,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,,,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[OH2+].C[OH2+].[Ir].[Ir],,C1CCOC1,,COc1c(C)cc(B2OC(C)(C)C(C)(C)O2)cc1C,80.0,9000.0,88.0
CC(C)(C)C(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,COc1cc(OC)c2ccccc2n1,O=C(O)O.[K],,,CC(=O)O.[Pd],,CC#N,,CC(C)(CB1OC(C)(C)C(C)(C)O1)C(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,80.0,54000.0,67.0
Fc1cccc(-c2ccc3ccccc3c2)c1,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,COc1ccccn1,,,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[OH2+].C[OH2+].[Ir].[Ir],,C1CCOC1,,CC1(C)OB(c2ccc(-c3ccc4ccccc4c3)cc2F)OC1(C)C,80.0,57600.0,8.0
CCN(CC)C(=O)c1cccc(F)c1,CC(C)(C)c1ccnc(-c2cc(C(C)(C)C)ccn2)c1,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,,,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[OH2+].C[OH2+].[Ir].[Ir],,C1CCOC1,,CCN(CC)C(=O)c1ccc(B2OC(C)(C)C(C)(C)O2)c(F)c1,50.0,86400.0,91.0
c1ccc2c(-c3nccc4ccccc34)cccc2c1,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,CCN(CC)Cc1ccccn1,CC1(C)OBOC1(C)C,,,C1=CCCC=CCC1.C1=CCCC=CCC1.[Cl-].[Cl-].[Ir].[Ir],,C1CCOC1,,CC1(C)OB(c2ccc3ccccc3c2-c2nccc3ccccc23)OC1(C)C,50.0,50400.0,0.0
Cc1cccc(Br)c1,C1CCc2c(c3c(c4c2CCCC4)CCCC3)C1,CC(C)(C)c1ccnc(-c2cc(C(C)(C)C)ccn2)c1,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,,,,,C1CCOC1,,Cc1cc(Br)cc(B2OC(C)(C)C(C)(C)O2)c1,25.0,14400.0,0.0
CNC(=O)c1ccc(-c2ccccc2)cc1,c1ccc(-c2ccccn2)nc1,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,,,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[OH2+].C[OH2+].[Ir].[Ir],,C1CCOC1,,CNC(=O)c1ccc(-c2ccccc2)cc1B1OC(C)(C)C(C)(C)O1,60.0,345600.0,0.0
O=Cc1ccc(F)cc1,CC(C)(C)N,CC1(C)OBOC1(C)C,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,Nc1cccc2cccnc12,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[OH2+].C[OH2+].[Ir].[Ir],,C1CCOC1,,CC1(C)OB(c2cc(F)ccc2C=O)OC1(C)C,90.0,43200.0,79.0
CCCCCC(=O)Nc1ccccc1,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,O=C(Nc1ccccc1-c1cccnc1)NC1CCCCC1,CC(C)[Si](Oc1ccc2ccccc2c1-c1c(Op2oc3ccc4ccccc4c3c3c(ccc4ccccc43)o2)ccc2ccccc12)(C(C)C)C(C)C,Cc1cccc(C)n1,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[OH2+].C[OH2+].[Ir].[Ir],,Cc1ccccc1,COC1CCCC1,CCC(CCC(=O)Nc1ccccc1)B1OC(C)(C)C(C)(C)O1,25.0,172800.0,91.0
O=C(NCc1ccccc1)c1ccccc1,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,Cc1[nH]c2c(NC(=O)c3ccc(-c4ccccn4)nc3)cccc2c1C,,,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[OH2+].C[OH2+].[Ir].[Ir],,C1CCOC1,,CC1(C)OB(c2ccccc2C(=O)NCc2ccccc2)OC1(C)C,60.0,345600.0,65.0
Cc1nc2ccccc2[nH]1,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,Cc1cnc2c(ccc3c(C)c(C)cnc32)c1C,,,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[OH2+].C[OH2+].[Ir].[Ir],,C1CCOC1,,Cc1nc2ccc(B3OC(C)(C)C(C)(C)O3)cc2[nH]1,80.0,172800.0,94.0
CC(C)(C)OC(=O)N1CCCCC1,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,Cc1ccc2ccc3cccnc3c2n1,,,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[OH2+].C[OH2+].[Ir].[Ir],,C1CCCCCCC1,,CC(C)(C)OC(=O)N1CCCC(B2OC(C)(C)C(C)(C)O2)C1,100.0,72000.0,41.0
Cc1cccc(Br)c1,CC(C)(C)c1ccnc(-c2cc(C(C)(C)C)ccn2)c1,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,C1CCc2c(c3c(c4c2CCCC4)CCCC3)C1,,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[OH2+].C[OH2+].[Ir].[Ir],,C1CCOC1,,Cc1cc(Br)cc(B2OC(C)(C)C(C)(C)O2)c1,25.0,14400.0,58.0
CC(C)(C)C(=O)n1ccc2c(Br)cccc21,BrB(Br)Br,CC(C)(O)C(C)(C)O,,,,,,,,CC1(C)OB(c2ccc(Br)c3cc[nH]c23)OC1(C)C,25.0,57600.0,86.0
COc1cccc(O)c1,CCN(CC)CC,CC(C)(O)C(C)(C)O,CC(C)(C)c1ccnc(-c2cc(C(C)(C)C)ccn2)c1,C1COB(B2OCCO2)O1,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[OH2+].C[OH2+].[Ir].[Ir],,Cc1ccccc1,ClC(Cl)Cl,COc1ccc(B2OC(C)(C)C(C)(C)O2)c(O)c1,80.0,7200.0,80.0
Cc1cccc(N(C)C)c1,C1CCc2c(c3c(c4c2CCCC4)CCCC3)C1,c1ccc(P(CCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,CC1(C)OBOC1(C)C,,,C1=CCCC=CCC1.C1=CCCC=CCC1.[Cl-].[Cl-].[Ir].[Ir],,C1CCOC1,,Cc1cc(B2OC(C)(C)C(C)(C)O2)cc(N(C)C)c1,80.0,28800.0,0.0
O=C(Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F)c1ccccc1,O=P(O)(O)O.[K],CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,O=S(=O)(O)OOS(=O)(=O)O.[K],,,CC(=O)O.[Pd],,CC#N,,CC1(C)OB(c2ccccc2C(=O)Nc2c(F)c(F)c(C(F)(F)F)c(F)c2F)OC1(C)C,80.0,43200.0,0.0
CCCCCCN(CCCCCC)C(=O)c1cccs1,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,CC(C)(C)c1ccnc(-c2cc(C(C)(C)C)ccn2)c1,,,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[OH2+].C[OH2+].[Ir].[Ir],,Cc1ccc(C)cc1,,CCCCCCN(CCCCCC)C(=O)c1ccc(B2OC(C)(C)C(C)(C)O2)s1,25.0,57600.0,90.0
CCCCC1(O)CCCCC1,Cc1ccc2ccc3cccnc3c2n1,CC1(C)OBOC1(C)C,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[OH2+].C[OH2+].[Ir].[Ir],,C1CCCCCCC1,,CC1(C)OB(CCCCC2(O)CCCCC2)OC1(C)C,100.0,72000.0,48.0
COc1ccc2nc(C#N)ccc2c1,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,CC(C)(C)c1ccnc(-c2cc(C(C)(C)C)ccn2)c1,,,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[OH2+].C[OH2+].[Ir].[Ir],,COC(C)(C)C,,COc1ccc2nc(C#N)cc(B3OC(C)(C)C(C)(C)O3)c2c1,25.0,172800.0,87.0
COC(=O)c1cccc(C(=O)OC)c1,c1ccc(N2B(B3Nc4ccccc4N3c3ccccn3)Nc3ccccc32)nc1,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,,,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[OH2+].C[OH2+].[Ir].[Ir],,COC1CCCC1,,COC(=O)c1cc(B2OC(C)(C)C(C)(C)O2)cc(C(=O)OC)c1,100.0,57600.0,95.0
Cc1cccc(N(C)C)c1,CC(C)(C)c1ccnc(-c2cc(C(C)(C)C)ccn2)c1,C1CCc2c(c3c(c4c2CCCC4)CCCC3)C1,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,,,C1=CCCC=CCC1.C1=CCCC=CCC1.[Cl-].[Cl-].[Ir].[Ir],,C1CCOC1,,Cc1cc(B2OC(C)(C)C(C)(C)O2)cc(N(C)C)c1,80.0,28800.0,42.0
