reactant-1,reactant-2,reagent-1,catalyst-1,catalyst-2,solvent-1,solvent-2,solvent-3,solvent-4,solvent-5,solvent-6,solvent-7,solvent-8,solvent-9,solvent-10,product,temperature_c,reaction_time_s,yield_percent
FC(F)(F)c1ccc(Br)cc1,C1COCCN1,CC(C)(C)[O-].[K+],CCOC(=O)c1ccnc(-c2cc(C(=O)OCC)ccn2)c1,CC(=O)[O][Cu][O]C(C)=O,CS(C)=O,CS(C)=O,CS(C)=O,CS(C)=O,CS(C)=O,,,,,,FC(F)(F)c1ccc(N2CCOCC2)cc1,60.0,64800.0,6.59883451461792
Brc1cccnc1,c1ccc(C2CCNCC2)cc1,CC(C)(C)[O-].[Na+],C1CCC(P(C2CCCCC2)[c]23->[Fe+2]456789%10(<-[cH]([cH]->4[cH-]->52)[cH]->63)<-[cH]2[cH]->7[cH-]->8[c]->9(P(C3C4CC5CC(C4)CC3C5)C3C4CC5CC(C4)CC3C5)[cH]->%102)CC1,CC(=O)[O][Pd][O]C(C)=O,COCCOCCOC,COCCOCCOC,COCCOCCOC,COCCOCCOC,COCCOCCOC,,,,,,c1ccc(C2CCN(c3cccnc3)CC2)cc1,60.0,64800.0,64.36669158935547
FC(F)(F)c1ccc(Br)cc1,C1COCCN1,C[Si](C)(C)[O-].[Na+],O=C(N[C@H]1CCCC[C@@H]1NC(=O)c1c(P(c2ccccc2)c2ccccc2)ccc2ccccc12)c1c(P(c2ccccc2)c2ccccc2)ccc2ccccc12,CC1=[C]2(C)->[Ni]3(<-[CH]4=CCC[CH]->3=CCC4)<-[C](C)(=C(C)C2=O)C1=O,COCCOCCOC,COCCOCCOC,COCCOCCOC,COCCOCCOC,COCCOCCOC,,,,,,FC(F)(F)c1ccc(N2CCOCC2)cc1,30.0,64800.0,0.0
FC(F)(F)c1ccc(I)cc1,C1COCCN1,O=P([O-])([O-])[O-].[K+],COc1cc(OC)c(NC(=O)C(=O)Nc2c(OC)cc(OC)cc2OC)c(OC)c1,CC(=O)[O][Cu],CS(C)=O,CS(C)=O,CS(C)=O,CS(C)=O,CS(C)=O,,,,,,FC(F)(F)c1ccc(N2CCOCC2)cc1,30.0,64800.0,7.769999980926514
FC(F)(F)c1ccc(I)cc1,C1COCCN1,O=C([O-])[O-].[Cs+],O=C(NCc1ccccc1)C(=O)NCc1ccccc1,[Cu][O][Cu],CS(C)=O,CS(C)=O,CS(C)=O,CS(C)=O,CS(C)=O,,,,,,FC(F)(F)c1ccc(N2CCOCC2)cc1,30.0,64800.0,0.0
Brc1cccnc1,c1ccc(C2CCNCC2)cc1,C[Si](C)(C)[O-].[Na+],CN(C)c1ccccc1-c1ccccc1P(C1CCCCC1)C1CCCCC1,[Cu][I],COCCOCCOC,COCCOCCOC,COCCOCCOC,COCCOCCOC,COCCOCCOC,,,,,,c1ccc(C2CCN(c3cccnc3)CC2)cc1,60.0,64800.0,0.0
FC(F)(F)c1ccc(I)cc1,C1COCCN1,CC(C)(C)[O-].[Na+],CNCC(=O)O,,CS(C)=O,CS(C)=O,CS(C)=O,CS(C)=O,CS(C)=O,,,,,,FC(F)(F)c1ccc(N2CCOCC2)cc1,80.0,64800.0,6.073036193847656
Brc1cccnc1,c1ccc(C2CCNCC2)cc1,CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,CN(C)c1ccccc1P(C(C)(C)C)C(C)(C)C,CC(=O)[O][Pd][O]C(C)=O,COCCOCCOC,COCCOCCOC,COCCOCCOC,COCCOCCOC,COCCOCCOC,,,,,,c1ccc(C2CCN(c3cccnc3)CC2)cc1,30.0,64800.0,0.6754124164581299
FC(F)(F)c1ccc(Br)cc1,C1COCCN1,CC(C)(C)[O-].[K+],O=C(O)C(=O)Nc1c(F)c(F)c(F)c(F)c1F,,Cc1cccc(C)c1,CS(C)=O,Cc1cccc(C)c1,CS(C)=O,Cc1cccc(C)c1,CS(C)=O,Cc1cccc(C)c1,CS(C)=O,Cc1cccc(C)c1,CS(C)=O,FC(F)(F)c1ccc(N2CCOCC2)cc1,30.0,64800.0,7.989999771118164
FC(F)(F)c1ccc(I)cc1,C1COCCN1,C[Si](C)(C)[O-].[Na+],CN(C)CCN(C)C,,CS(C)=O,CS(C)=O,CS(C)=O,CS(C)=O,CS(C)=O,,,,,,FC(F)(F)c1ccc(N2CCOCC2)cc1,30.0,64800.0,0.0
FC(F)(F)c1ccc(Br)cc1,C1COCCN1,O=P([O-])([O-])[O-].[K+],COc1cccc(OC)c1NC(=O)C(=O)O,CC1=CC(C)=[O]->[Ni]2([O]1)[O]C(C)=CC(C)=[O]->2,CS(C)=O,CS(C)=O,CS(C)=O,CS(C)=O,CS(C)=O,,,,,,FC(F)(F)c1ccc(N2CCOCC2)cc1,60.0,64800.0,0.0
FC(F)(F)c1ccc(Br)cc1,C1COCCN1,C[Si](C)(C)[O-].[Na+],c1ccc(-c2nn(-c3ccccc3)c(-c3ccccc3)c2-n2nccc2P(C2CCCCC2)C2CCCCC2)cc1,CC1=[C]2(C)->[Ni]3(<-[CH]4=CCC[CH]->3=CCC4)<-[C](C)(=C(C)C2=O)C1=O,COCCOCCOC,COCCOCCOC,COCCOCCOC,COCCOCCOC,COCCOCCOC,,,,,,FC(F)(F)c1ccc(N2CCOCC2)cc1,60.0,64800.0,0.0
Brc1cccnc1,c1ccc(C2CCNCC2)cc1,CC(C)(C)[O-].[Li+],COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CC#[N]->[Cu+](<-[N]#CC)(<-[N]#CC)<-[N]#CC.F[B-](F)(F)F,CS(C)=O,CS(C)=O,CS(C)=O,CS(C)=O,CS(C)=O,,,,,,c1ccc(C2CCN(c3cccnc3)CC2)cc1,60.0,64800.0,3.4377667903900146
Brc1cccnc1,c1ccc(C2CCNCC2)cc1,O=P([O-])([O-])[O-].[K+],CC(C)c1cc(C(C)C)c(-c2ccccc2P(C(C)(C)C)C(C)(C)C)c(C(C)C)c1,[Cl][Cu],COCCOCCOC,COCCOCCOC,COCCOCCOC,COCCOCCOC,COCCOCCOC,,,,,,c1ccc(C2CCN(c3cccnc3)CC2)cc1,60.0,64800.0,0.0
