reactant-1,reactant-2,reactant-3,reagent-1,reagent-2,reagent-3,reagent-4,reagent-5,catalyst-1,catalyst-2,solvent-1,solvent-2,product,lc_area_percent
CC(C)(C)c1ccc(Br)cn1,[Br][Zn][CH2]Cc1ccccc1,[C-]#[N+]C(C)(C)C,CCN(CC)CC,,,,,CC(=O)[O][Pd][O]C(C)=O,CCCCP([C@]12C[C@@H]3C[C@H](C[C@@H](C3)C1)C2)[C@]12C[C@H]3C[C@@H](C[C@H](C3)C1)C2,Cc1ccccc1,,CC(C)(C)c1ccc(C(=O)C(=O)CCc2ccccc2)cn1,0.0
Brc1ccc2ncccc2c1,O=S([O-])c1ccccn1.[Na+],,O=P([O-])([O-])[O-].[K+].[K+].[K+],O,,,,CN(C)CCN(C)C.Cc1cccc[c]1[Ni][Cl],C1CCC(P(C2CCCCC2)C2CCCC2)CC1.C1CCC(P(C2CCCCC2)C2CCCC2)CC1.[Fe],Cc1ccccc1,,c1ccc(-c2ccc3ncccc3c2)nc1,0.0
CC(C)(C)OC(=O)n1ccc2c(F)ccc(OCc3ccccc3)c2c1=O,,,,,,,,[OH][Pd][OH],,CC(=O)O,,CC(C)(C)OC(=O)N1CCc2c(F)ccc(O)c2C1,6.0
OCc1cc(-c2cc(Cl)ccc2O)ccn1,OB(O)c1cccc(C(F)(F)F)c1,,[Na+].[OH-],O,,,,CC(=O)[O][Pd][O]C(C)=O,CCCCP([C@]12C[C@@H]3C[C@H](C[C@@H](C3)C1)C2)[C@]12C[C@H]3C[C@@H](C[C@H](C3)C1)C2,CCCCO,,OCc1cc(-c2cc(-c3cccc(C(F)(F)F)c3)ccc2O)ccn1,59.0
Nc1nnc(C[C@H]2CC[C@@H](c3nnc(N)s3)C2)s1,O=C(O)Cc1ccccn1,,CCCP1(=O)OP(=O)(CCC)OP(=O)(CCC)O1,Cn1ccnc1,,,,,,CN(C)C=O,,O=C(Cc1ccccn1)Nc1nnc(C[C@H]2CC[C@@H](c3nnc(NC(=O)Cc4ccccn4)s3)C2)s1,57.0
Brc1ccc2ncccc2c1,COc1ccc([S@](=O)O)cn1,,O=C([O-])[O-].[K+].[K+],,,,,CCCCCCCCCCc1ccc(NC(=O)C2CS(=O)(=O)c3ccccc3C2=O)cc1,CC(C)(C)P(C1CCCC1)C(C)(C)C.CC(C)(C)P(C1CCCC1)C(C)(C)C.[Fe],CCC#N,,COc1ccc(-c2ccc3ncccc3c2)cn1,0.0
Cc1cc(Br)c(F)cc1C=O,CCCC[N+](CCCC)(CCCC)CCCC.[C-]#N,,,,,,,CC(=O)[O][Pd][O]C(C)=O,c1ccc(P(c2ccccc2)c2ccccc2)cc1,CC(=O)N(C)C,,Cc1cc(Br)c(F)cc1C=O,0.0
CC(C)(C)OC(=O)N1CC=CC1=O,COc1ncccc1Br,,CC(C)(C)C(=O)[O-].[Cs+],,,,,CC(=O)[O][Pd][O]C(C)=O,Cc1ccccc1P(c1ccccc1C)c1ccccc1C,CC#N,,COc1ncccc1C1=CC(=O)N(C(=O)OC(C)(C)C)C1,0.0
C=C(c1ccccc1)c1cc(Cl)nnc1N,,,,,,,,C1=CCCC=CCC1.C1=CCCC=CCC1.O=S(=O)([O-])C(F)(F)F.[Rh+],,ClCCCl,,CC(c1ccccc1)c1cc(Cl)nnc1N,0.0
Cc1cc2c(cc1B1OC(C)(C)C(C)(C)O1)C(=O)N([C@H]1CCOC[C@@H]1O)CC2,Cc1nc(-c2ccc(CCl)cc2)co1,,O=P([O-])([O-])[O-].[K+].[K+].[K+],O,,,,CC(=O)[O][Pd][O]C(C)=O,CCCCP([C@]12C[C@@H]3C[C@H](C[C@@H](C3)C1)C2)[C@]12C[C@H]3C[C@@H](C[C@H](C3)C1)C2,CN(C)C=O,,Cc1nc(-c2ccc(Cc3cc4c(cc3C)CCN([C@H]3CCOC[C@@H]3O)C4=O)cc2)co1,71.0
CS(=O)(=O)N1CC[C@H]2O[C@@H]2C1,[NH4+].[OH-],,[Cl-].[Cl-].[Zn+2],,,,,,,CC1CCCO1,,CS(=O)(=O)N1CC[C@@H](N)[C@H](O)C1,0.0
O=[N+]([O-])c1ccccc1F,CC(O)c1cccnc1,c1ccc([Si](c2ccccc2)c2ccccc2)cc1,C1CCC2=NCCCN2CC1,,,,,,,CS(C)=O,,CC(Oc1ccccc1[N+](=O)[O-])c1cccnc1,0.0
C=C1CNC(=O)c2ccccc21,,,,,,,,C1=CCCC=CCC1.C=C(C)[CH2][Ru][CH2]C(=C)C,CC(C)[C@H]1CC[C@H](C(C)C)P1c1ccccc1P1[C@@H](C(C)C)CC[C@@H]1C(C)C,ClCCCl,CC1COC(=O)O1,CC1CNC(=O)c2ccccc21,8.0
Clc1ncnc2[nH]cc(I)c12,N#Cc1cccc(B(O)O)c1,,[Na+].[OH-],O,,,,CC(=O)[O][Pd][O]C(C)=O,CN(C)c1ccc(P(C(C)(C)C)C(C)(C)C)cc1,CO,,N#Cc1cccc(-c2c[nH]c3ncnc(Cl)c23)c1,4.0
Cc1nc2c(C(=O)O)cccc2[nH]1,,,,,,,,,,CC(C)O,O,Cc1nc2c([nH]1)CCCC2C(=O)O,0.0
Brc1ccc2ncccc2c1,O=S([O-])C1CC1.[Na+],,O=C([O-])[O-].[K+].[K+],,,,,CC(=O)[O][Pd][O]C(C)=O,c1ccc(P(c2ccccc2)c2ccc3ccccc3c2-c2c(P(c3ccccc3)c3ccccc3)ccc3ccccc23)cc1,COc1ccccc1,,c1cnc2ccc(C3CC3)cc2c1,0.0
COc1ccc(C2=C(C)c3ccc(OC)cc3O[C@@H]2c2ccc(OCc3ccccc3)cc2)cc1,,,Cl,,,,,,,CO,,COc1ccc(C2=C(C)c3ccc(OC)cc3OC2c2ccc(O)cc2)cc1,60.0
Cc1cc(C)c(CN2CCc3c(Br)cc(I)c(Cl)c3C2=O)c(OCc2ccccc2)n1,Cc1cn(C)nn1,,,,,,,[Pd].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1,,C1CCOC1,,Cc1cc(C)c(CN2CCc3c(Br)cc(-c4c(C)nnn4C)c(Cl)c3C2=O)c(OCc2ccccc2)n1,11.0
CC1=C(c2ccccc2)CC1=O,,,,,,,,C1=CCCC=CCC1.C1=CCCC=CCC1.O=S(=O)([O-])C(F)(F)F.[Rh+],C1CCCC1.CC(C)[C@@H]1COC(C2CCCC2P(c2ccccc2)c2ccccc2)=N1.[Fe],ClCCCl,,CC1CNC(=O)c2ccccc21,0.0
O=C(O)/C=C(\c1ccccc1)C(F)(F)F,,,C1COCCN1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,,,,C1=CCCC=CCC1.C1=CCCC=CCC1.F[B-](F)(F)F.[Rh+],C1CCCC1.C[C@H](C1CCCC1P(c1ccccc1)c1ccccc1)P(C(C)(C)C)C(C)(C)C.[Fe],[2H]C(Cl)(Cl)Cl,O,O=C(O)CC(c1ccccc1)C(F)(F)F,30.0
COc1ccnc2[nH]ccc12,CC(C)(C)OC(=O)N1CCC(=O)CC1,,CN(C)c1ccncc1,,,,,,,CO,,COc1ccnc2[nH]cc(C3=CCN(C(=O)OC(C)(C)C)CC3)c12,0.0
COC(=O)c1cc(Cl)ccc1Cl,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,CC1(C)OBOC1(C)C,,,,,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[O+]1[Ir-]2[O+](C)[Ir-]12,CCN(CC)C(=O)c1ccccc1O,COC1CCCC1,,COC(=O)c1cc(Cl)cc(B2OC(C)(C)C(C)(C)O2)c1Cl,0.0
CCOC(=O)C1(C(=O)OCC)CCN(Cc2ccccc2)C1,,,,,,,,,,CCO,,CCOC(=O)C1(C(=O)OCC)CCNC1,100.0
Cc1c(Cl)cc2c(cnn2[C@H]2CCCCO2)c1B1OC(C)(C)C(C)(C)O1,C[C@H]1C=CC(=O)CC1,,C[N+](C)(C)C.[F-],,,,,C1=CCCC=CCC1.C1=CCCC=CCC1.[Cl][Rh].[Cl][Rh],,C1COCCO1,O,Cc1ccc2c(cnn2C2CCCCO2)c1C1CCc2c(ncnc2N2CCN(C(=O)OC(C)(C)C)CC2)C1,3.0
Cc1ccc(S(=O)(=O)N2CCC(C(=O)ON3C(=O)c4c(Cl)c(Cl)c(Cl)c(Cl)c4C3=O)CC2)cc1,CC1(C)OB(c2ccccc2)OC1(C)C,,CCC(C)(C)[O-].[K+],,,,,CC(=O)/C=C(/C)[O][Fe]([O]/C(C)=C\C(C)=O)[O]/C(C)=C\C(C)=O,CC(C)(C)CP(C(C)(C)C)C(C)(C)C.CS(=O)(=O)[O-].Nc1ccccc1-c1cccc[c]1[Pd+],C1CCOC1,,Cc1ccc(S(=O)(=O)N2CCC(c3ccccc3)CC2)cc1,0.0
CC(=O)O[C@@H]1O[C@H](COC(=O)c2ccccc2)[C@@H](OC(=O)c2ccccc2)[C@H]1OC(=O)c1ccccc1,COC(=O)c1cscc1NC=O,,[Ca+2].[I-].[I-],,,,,,,Cc1ccccc1,,COC(=O)c1csc([C@@H]2O[C@H](COC(=O)c3ccccc3)[C@@H](OC(=O)c3ccccc3)[C@H]2OC(=O)c2ccccc2)c1NC=O,0.0
O=C(Cc1ccccc1)Nc1ccc(Br)nn1,C=CCCc1nnc(NC(=O)Cc2ccccn2)s1,B1[C@H]2CCC[C@@H]1CCC2,[Na+].[OH-],O,,,,CC(=O)[O][Pd][O]C(C)=O,CCCCP([C@]12C[C@@H]3C[C@H](C[C@@H](C3)C1)C2)[C@]12C[C@H]3C[C@@H](C[C@H](C3)C1)C2,Cc1ccccc1,,O=C(Cc1ccccc1)Nc1ccc(CCCCc2nnc(NC(=O)Cc3ccccn3)s2)nn1,0.0
CC(C)(C)OC(=O)N1CCC[C@@H](N(C(=O)c2ccc(Br)cc2)c2ncccc2Cl)C1,c1cnc2ccnn2c1,O,CC(=O)[O-].[K+],,,,,,,CCC(C)(C)O,,CC(C)(C)OC(=O)N1CCC[C@@H](N(C(=O)c2ccc(-c3cnn4cccnc34)cc2)c2ncccc2Cl)C1,0.0
Fc1c(Cl)nc(N2CCOCC2)nc1Cl,CC(C)(C)OC(=O)N1CC[C@](N)(CO)C1,,CC(C)(C)N=P(N1CCCC1)(N1CCCC1)N1CCCC1,,,,,,,CC#N,,CC(C)(C)OC(=O)N1CCC(CO)(Nc2nc(N3CCOCC3)nc(Cl)c2F)C1,12.0
C[C@H](Cn1ccc2c1nc(N)n1nc(-c3ccco3)nc21)OS(C)(=O)=O,C1CNCCN1,,,,,,,,,CC1CCCO1,,C[C@H](Cn1ccc2c1nc(N)n1nc(-c3ccco3)nc21)N1CCNCC1,5.0
Cn1ccc(N)n1,CC1(C)OBOC1(C)C,,,,,,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[O+]1[Ir-]2[O+](C)[Ir-]12,Cc1cnc2c(ccc3c(C)c(C)cnc32)c1C,CCCCCCC,,Cn1nc(N)cc1B1OC(C)(C)C(C)(C)O1,0.0
